,Product,Quantity Ordered,Order Date
0,Wired Headphones,2,2019-08-31
1,Bose SoundSport Headphones,1,2019-08-15
2,iPhone,1,2019-08-06
3,AA_Batteries,2,2019-08-29
4,AA_Batteries,2,2019-08-15
5,Wired Headphones,1,2019-08-02
6,34in Ultrawide Monitor,1,2019-08-04
7,20in Monitor,1,2019-08-13
8,Wired Headphones,1,2019-08-25
9,Macbook Pro Laptop,1,2019-08-07
10,LG Washing Machine,1,2019-08-09
11,AA_Batteries,1,2019-08-26
12,AA_Batteries,1,2019-08-19
13,27in FHD Monitor,1,2019-08-31
14,Lightning Charging Cable,1,2019-08-09
15,Apple Airpods Headphones,1,2019-08-23
16,AAA Batteries,1,2019-08-15
17,USB-C Charging Cable,1,2019-08-23
18,34in Ultrawide Monitor,1,2019-08-08
19,AAA Batteries,1,2019-08-21
20,AAA Batteries,1,2019-08-08
21,USB-C Charging Cable,1,2019-08-23
22,USB-C Charging Cable,1,2019-08-20
23,27in 4K Gaming Monitor,1,2019-08-12
24,Apple Airpods Headphones,1,2019-08-14
25,Bose SoundSport Headphones,1,2019-08-04
26,Lightning Charging Cable,1,2019-08-21
27,AA_Batteries,1,2019-08-25
28,Wired Headphones,1,2019-08-07
29,AA_Batteries,2,2019-08-20
30,Wired Headphones,1,2019-08-09
31,Apple Airpods Headphones,1,2019-08-06
32,ThinkPad Laptop,1,2019-08-23
33,Bose SoundSport Headphones,1,2019-08-08
34,Flatscreen TV,1,2019-08-11
35,AA_Batteries,3,2019-08-11
36,Google Phone,1,2019-08-14
37,AA_Batteries,2,2019-08-14
38,Apple Airpods Headphones,1,2019-08-27
39,iPhone,1,2019-08-04
40,Macbook Pro Laptop,1,2019-08-04
41,Macbook Pro Laptop,1,2019-08-28
42,AA_Batteries,2,2019-08-30
43,27in FHD Monitor,1,2019-08-05
44,27in 4K Gaming Monitor,1,2019-08-30
45,27in 4K Gaming Monitor,1,2019-08-23
46,AA_Batteries,2,2019-08-17
47,USB-C Charging Cable,1,2019-08-17
48,Google Phone,1,2019-08-11
49,Apple Airpods Headphones,1,2019-08-10
50,AAA Batteries,1,2019-08-05
51,Apple Airpods Headphones,1,2019-08-24
52,Apple Airpods Headphones,1,2019-08-02
53,AAA Batteries,2,2019-08-07
54,Apple Airpods Headphones,1,2019-08-01
55,Apple Airpods Headphones,1,2019-08-21
56,AAA Batteries,3,2019-08-24
57,AA_Batteries,1,2019-08-29
58,USB-C Charging Cable,1,2019-08-19
59,ThinkPad Laptop,1,2019-08-10
60,iPhone,1,2019-08-09
61,Apple Airpods Headphones,1,2019-08-09
62,Google Phone,1,2019-08-02
63,Wired Headphones,1,2019-08-02
64,AAA Batteries,1,2019-08-29
65,Flatscreen TV,1,2019-08-09
66,Apple Airpods Headphones,1,2019-08-08
67,AA_Batteries,2,2019-08-14
68,Apple Airpods Headphones,1,2019-08-18
