,Unnamed: 0,Product,Quantity Ordered,Order Date
7,7,20in Monitor,1,2019-08-13
123,123,20in Monitor,2,2019-08-21
160,160,20in Monitor,1,2019-08-06
176,176,20in Monitor,1,2019-08-30
260,262,20in Monitor,1,2019-08-29
283,285,20in Monitor,1,2019-08-19
298,300,20in Monitor,1,2019-08-08
321,324,20in Monitor,1,2019-08-14
325,328,20in Monitor,1,2019-08-06
346,349,20in Monitor,1,2019-08-07
375,378,20in Monitor,1,2019-08-08
400,403,20in Monitor,1,2019-08-01
482,485,20in Monitor,1,2019-08-16
538,541,20in Monitor,1,2019-08-31
605,608,20in Monitor,1,2019-08-25
661,664,20in Monitor,1,2019-08-27
700,703,20in Monitor,1,2019-08-06
709,712,20in Monitor,1,2019-08-31
926,929,20in Monitor,1,2019-08-25
945,948,20in Monitor,1,2019-08-02
987,990,20in Monitor,1,2019-08-02
996,999,20in Monitor,1,2019-08-05
1023,1026,20in Monitor,1,2019-08-06
1034,1037,20in Monitor,1,2019-08-22
1078,1081,20in Monitor,1,2019-08-28
1086,1089,20in Monitor,1,2019-08-07
1167,1170,20in Monitor,1,2019-08-22
1366,1371,20in Monitor,1,2019-08-04
1374,1379,20in Monitor,1,2019-08-08
1456,1463,20in Monitor,1,2019-08-21
1485,1492,20in Monitor,1,2019-08-31
1584,1591,20in Monitor,1,2019-08-18
1603,1610,20in Monitor,1,2019-08-07
1671,1678,20in Monitor,1,2019-08-04
1746,1754,20in Monitor,1,2019-08-16
1826,1834,20in Monitor,1,2019-08-29
1895,1903,20in Monitor,1,2019-08-05
1998,2006,20in Monitor,1,2019-08-25
2074,2082,20in Monitor,1,2019-08-02
2077,2085,20in Monitor,1,2019-08-08
2123,2131,20in Monitor,1,2019-08-26
2140,2148,20in Monitor,1,2019-08-18
2216,2224,20in Monitor,1,2019-08-13
2307,2316,20in Monitor,1,2019-08-16
2316,2325,20in Monitor,1,2019-08-26
2358,2367,20in Monitor,1,2019-08-30
2401,2410,20in Monitor,1,2019-08-20
2434,2443,20in Monitor,1,2019-08-23
2531,2541,20in Monitor,1,2019-08-17
2585,2596,20in Monitor,1,2019-08-18
2617,2628,20in Monitor,1,2019-08-14
2623,2634,20in Monitor,1,2019-08-01
2684,2698,20in Monitor,1,2019-08-14
2763,2777,20in Monitor,1,2019-08-02
2833,2847,20in Monitor,1,2019-08-12
2901,2915,20in Monitor,1,2019-08-04
2918,2932,20in Monitor,1,2019-08-20
2938,2952,20in Monitor,1,2019-08-20
2940,2954,20in Monitor,1,2019-08-09
2995,3009,20in Monitor,1,2019-08-27
3004,3018,20in Monitor,1,2019-08-08
3007,3021,20in Monitor,1,2019-08-08
3041,3055,20in Monitor,1,2019-08-15
3256,3271,20in Monitor,1,2019-08-03
3361,3378,20in Monitor,1,2019-08-13
3365,3382,20in Monitor,1,2019-08-26
3368,3385,20in Monitor,1,2019-08-26
3379,3396,20in Monitor,1,2019-08-12
3471,3488,20in Monitor,1,2019-08-30
3508,3525,20in Monitor,1,2019-08-26
3552,3569,20in Monitor,1,2019-08-09
3602,3619,20in Monitor,1,2019-08-24
