,Unnamed: 0,Product,Quantity Ordered,Order Date
23,23,27in 4K Gaming Monitor,1,2019-08-12
44,44,27in 4K Gaming Monitor,1,2019-08-30
45,45,27in 4K Gaming Monitor,1,2019-08-23
84,84,27in 4K Gaming Monitor,1,2019-08-03
85,85,27in 4K Gaming Monitor,1,2019-08-27
114,114,27in 4K Gaming Monitor,1,2019-08-19
136,136,27in 4K Gaming Monitor,1,2019-08-01
156,156,27in 4K Gaming Monitor,1,2019-08-25
180,180,27in 4K Gaming Monitor,1,2019-08-18
186,186,27in 4K Gaming Monitor,1,2019-08-29
220,221,27in 4K Gaming Monitor,1,2019-08-15
223,224,27in 4K Gaming Monitor,1,2019-08-31
297,299,27in 4K Gaming Monitor,1,2019-08-25
364,367,27in 4K Gaming Monitor,1,2019-08-02
366,369,27in 4K Gaming Monitor,1,2019-08-04
368,371,27in 4K Gaming Monitor,1,2019-08-11
370,373,27in 4K Gaming Monitor,1,2019-08-05
405,408,27in 4K Gaming Monitor,1,2019-08-23
473,476,27in 4K Gaming Monitor,1,2019-08-07
480,483,27in 4K Gaming Monitor,1,2019-08-17
487,490,27in 4K Gaming Monitor,1,2019-08-30
488,491,27in 4K Gaming Monitor,1,2019-08-18
531,534,27in 4K Gaming Monitor,1,2019-08-31
559,562,27in 4K Gaming Monitor,1,2019-08-20
616,619,27in 4K Gaming Monitor,1,2019-08-24
662,665,27in 4K Gaming Monitor,1,2019-08-25
737,740,27in 4K Gaming Monitor,1,2019-08-10
761,764,27in 4K Gaming Monitor,1,2019-08-15
779,782,27in 4K Gaming Monitor,1,2019-08-23
786,789,27in 4K Gaming Monitor,1,2019-08-03
795,798,27in 4K Gaming Monitor,1,2019-08-08
807,810,27in 4K Gaming Monitor,1,2019-08-13
811,814,27in 4K Gaming Monitor,1,2019-08-28
845,848,27in 4K Gaming Monitor,1,2019-08-11
849,852,27in 4K Gaming Monitor,1,2019-08-14
850,853,27in 4K Gaming Monitor,1,2019-08-04
901,904,27in 4K Gaming Monitor,1,2019-08-19
920,923,27in 4K Gaming Monitor,1,2019-08-15
1133,1136,27in 4K Gaming Monitor,1,2019-08-06
1211,1214,27in 4K Gaming Monitor,1,2019-08-04
1224,1228,27in 4K Gaming Monitor,1,2019-08-08
1248,1252,27in 4K Gaming Monitor,1,2019-08-29
1269,1273,27in 4K Gaming Monitor,1,2019-08-16
1270,1274,27in 4K Gaming Monitor,1,2019-08-18
1296,1301,27in 4K Gaming Monitor,1,2019-08-31
1367,1372,27in 4K Gaming Monitor,1,2019-08-26
1426,1433,27in 4K Gaming Monitor,1,2019-08-30
1446,1453,27in 4K Gaming Monitor,1,2019-08-16
1475,1482,27in 4K Gaming Monitor,1,2019-08-08
1486,1493,27in 4K Gaming Monitor,1,2019-08-24
1494,1501,27in 4K Gaming Monitor,1,2019-08-18
1587,1594,27in 4K Gaming Monitor,1,2019-08-04
1600,1607,27in 4K Gaming Monitor,1,2019-08-27
1607,1614,27in 4K Gaming Monitor,1,2019-08-21
1656,1663,27in 4K Gaming Monitor,1,2019-08-06
1670,1677,27in 4K Gaming Monitor,1,2019-08-27
1692,1699,27in 4K Gaming Monitor,1,2019-08-23
1713,1720,27in 4K Gaming Monitor,2,2019-08-28
1778,1786,27in 4K Gaming Monitor,1,2019-08-29
1779,1787,27in 4K Gaming Monitor,1,2019-08-18
1819,1827,27in 4K Gaming Monitor,1,2019-08-25
1854,1862,27in 4K Gaming Monitor,1,2019-08-23
1866,1874,27in 4K Gaming Monitor,1,2019-08-07
1876,1884,27in 4K Gaming Monitor,1,2019-08-22
1899,1907,27in 4K Gaming Monitor,1,2019-08-17
1908,1916,27in 4K Gaming Monitor,1,2019-08-17
1910,1918,27in 4K Gaming Monitor,1,2019-08-05
1955,1963,27in 4K Gaming Monitor,1,2019-08-07
1983,1991,27in 4K Gaming Monitor,1,2019-08-07
1994,2002,27in 4K Gaming Monitor,1,2019-08-03
2015,2023,27in 4K Gaming Monitor,1,2019-08-10
2017,2025,27in 4K Gaming Monitor,1,2019-08-10
2060,2068,27in 4K Gaming Monitor,1,2019-08-28
2065,2073,27in 4K Gaming Monitor,1,2019-08-25
2152,2160,27in 4K Gaming Monitor,1,2019-08-19
2188,2196,27in 4K Gaming Monitor,1,2019-08-11
2196,2204,27in 4K Gaming Monitor,1,2019-08-04
2250,2258,27in 4K Gaming Monitor,1,2019-08-18
2305,2314,27in 4K Gaming Monitor,1,2019-08-05
2323,2332,27in 4K Gaming Monitor,1,2019-08-05
2414,2423,27in 4K Gaming Monitor,1,2019-08-29
2458,2467,27in 4K Gaming Monitor,1,2019-08-24
2505,2515,27in 4K Gaming Monitor,1,2019-08-22
2550,2560,27in 4K Gaming Monitor,1,2019-08-11
2555,2565,27in 4K Gaming Monitor,1,2019-08-28
2563,2574,27in 4K Gaming Monitor,1,2019-08-20
2581,2592,27in 4K Gaming Monitor,1,2019-08-08
2619,2630,27in 4K Gaming Monitor,1,2019-08-08
2674,2688,27in 4K Gaming Monitor,1,2019-08-30
2766,2780,27in 4K Gaming Monitor,1,2019-08-14
2768,2782,27in 4K Gaming Monitor,1,2019-08-15
2790,2804,27in 4K Gaming Monitor,1,2019-08-19
2853,2867,27in 4K Gaming Monitor,1,2019-08-17
2877,2891,27in 4K Gaming Monitor,1,2019-08-20
2900,2914,27in 4K Gaming Monitor,1,2019-08-27
2907,2921,27in 4K Gaming Monitor,1,2019-08-19
2911,2925,27in 4K Gaming Monitor,1,2019-08-10
2914,2928,27in 4K Gaming Monitor,1,2019-08-14
2921,2935,27in 4K Gaming Monitor,1,2019-08-07
2924,2938,27in 4K Gaming Monitor,1,2019-08-16
2949,2963,27in 4K Gaming Monitor,1,2019-08-06
2970,2984,27in 4K Gaming Monitor,1,2019-08-27
2974,2988,27in 4K Gaming Monitor,1,2019-08-20
2992,3006,27in 4K Gaming Monitor,1,2019-08-03
3020,3034,27in 4K Gaming Monitor,1,2019-08-15
3053,3067,27in 4K Gaming Monitor,1,2019-08-19
3060,3074,27in 4K Gaming Monitor,1,2019-08-31
3073,3087,27in 4K Gaming Monitor,1,2019-08-07
3091,3105,27in 4K Gaming Monitor,1,2019-08-04
3108,3123,27in 4K Gaming Monitor,1,2019-08-28
3116,3131,27in 4K Gaming Monitor,1,2019-08-14
3141,3156,27in 4K Gaming Monitor,1,2019-08-18
3166,3181,27in 4K Gaming Monitor,1,2019-08-23
3201,3216,27in 4K Gaming Monitor,1,2019-08-27
3243,3258,27in 4K Gaming Monitor,1,2019-08-17
3249,3264,27in 4K Gaming Monitor,1,2019-08-25
3288,3303,27in 4K Gaming Monitor,1,2019-08-21
3298,3314,27in 4K Gaming Monitor,1,2019-08-10
3322,3338,27in 4K Gaming Monitor,1,2019-08-25
3472,3489,27in 4K Gaming Monitor,1,2019-08-05
3480,3497,27in 4K Gaming Monitor,1,2019-08-06
3486,3503,27in 4K Gaming Monitor,1,2019-08-01
3528,3545,27in 4K Gaming Monitor,1,2019-08-11
3542,3559,27in 4K Gaming Monitor,1,2019-08-10
3570,3587,27in 4K Gaming Monitor,1,2019-08-23
3581,3598,27in 4K Gaming Monitor,1,2019-08-28
3627,3644,27in 4K Gaming Monitor,1,2019-08-22
3654,3671,27in 4K Gaming Monitor,1,2019-08-22
3695,3712,27in 4K Gaming Monitor,1,2019-08-20
3741,3758,27in 4K Gaming Monitor,1,2019-08-08
3747,3764,27in 4K Gaming Monitor,1,2019-08-05
3771,3788,27in 4K Gaming Monitor,1,2019-08-04
3774,3791,27in 4K Gaming Monitor,1,2019-08-28
3776,3793,27in 4K Gaming Monitor,1,2019-08-09
3846,3863,27in 4K Gaming Monitor,1,2019-08-09
3857,3874,27in 4K Gaming Monitor,1,2019-08-13
3875,3892,27in 4K Gaming Monitor,1,2019-08-23
3884,3901,27in 4K Gaming Monitor,1,2019-08-19
3957,3974,27in 4K Gaming Monitor,1,2019-08-08
3958,3975,27in 4K Gaming Monitor,1,2019-08-14
3999,4016,27in 4K Gaming Monitor,1,2019-08-31
4055,4072,27in 4K Gaming Monitor,1,2019-08-06
4059,4076,27in 4K Gaming Monitor,2,2019-08-10
4060,4077,27in 4K Gaming Monitor,1,2019-08-26
4070,4087,27in 4K Gaming Monitor,1,2019-08-15
4110,4127,27in 4K Gaming Monitor,1,2019-08-11
4124,4141,27in 4K Gaming Monitor,1,2019-08-08
4133,4150,27in 4K Gaming Monitor,1,2019-08-14
4146,4163,27in 4K Gaming Monitor,1,2019-08-25
4164,4181,27in 4K Gaming Monitor,1,2019-08-16
4173,4190,27in 4K Gaming Monitor,1,2019-08-10
4182,4199,27in 4K Gaming Monitor,1,2019-08-25
4204,4221,27in 4K Gaming Monitor,1,2019-08-24
4219,4236,27in 4K Gaming Monitor,1,2019-08-12
