,Unnamed: 0,Product,Quantity Ordered,Order Date
13,13,27in FHD Monitor,1,2019-08-31
43,43,27in FHD Monitor,1,2019-08-05
94,94,27in FHD Monitor,1,2019-08-19
112,112,27in FHD Monitor,1,2019-08-29
124,124,27in FHD Monitor,1,2019-08-06
149,149,27in FHD Monitor,1,2019-08-28
179,179,27in FHD Monitor,1,2019-08-10
197,197,27in FHD Monitor,1,2019-08-26
225,226,27in FHD Monitor,1,2019-08-21
287,289,27in FHD Monitor,1,2019-08-12
295,297,27in FHD Monitor,1,2019-08-21
307,309,27in FHD Monitor,1,2019-08-07
358,361,27in FHD Monitor,1,2019-08-17
374,377,27in FHD Monitor,1,2019-08-06
387,390,27in FHD Monitor,1,2019-08-16
395,398,27in FHD Monitor,1,2019-08-21
404,407,27in FHD Monitor,1,2019-08-06
412,415,27in FHD Monitor,1,2019-08-10
446,449,27in FHD Monitor,1,2019-08-10
484,487,27in FHD Monitor,1,2019-08-21
505,508,27in FHD Monitor,1,2019-08-23
551,554,27in FHD Monitor,1,2019-08-24
554,557,27in FHD Monitor,1,2019-08-19
586,589,27in FHD Monitor,1,2019-08-30
630,633,27in FHD Monitor,1,2019-08-31
646,649,27in FHD Monitor,1,2019-08-24
656,659,27in FHD Monitor,1,2019-08-06
693,696,27in FHD Monitor,1,2019-08-23
697,700,27in FHD Monitor,1,2019-08-09
706,709,27in FHD Monitor,1,2019-08-13
747,750,27in FHD Monitor,1,2019-08-04
751,754,27in FHD Monitor,1,2019-08-04
847,850,27in FHD Monitor,1,2019-08-13
870,873,27in FHD Monitor,1,2019-08-21
894,897,27in FHD Monitor,1,2019-08-26
967,970,27in FHD Monitor,1,2019-08-22
979,982,27in FHD Monitor,1,2019-08-14
998,1001,27in FHD Monitor,1,2019-08-01
1031,1034,27in FHD Monitor,1,2019-08-27
1038,1041,27in FHD Monitor,1,2019-08-27
1069,1072,27in FHD Monitor,1,2019-08-11
1089,1092,27in FHD Monitor,1,2019-08-28
1116,1119,27in FHD Monitor,1,2019-08-18
1125,1128,27in FHD Monitor,1,2019-08-14
1197,1200,27in FHD Monitor,1,2019-08-31
1201,1204,27in FHD Monitor,1,2019-08-16
1216,1219,27in FHD Monitor,1,2019-08-23
1223,1227,27in FHD Monitor,1,2019-08-09
1227,1231,27in FHD Monitor,1,2019-08-05
1258,1262,27in FHD Monitor,1,2019-08-11
1274,1278,27in FHD Monitor,1,2019-08-20
1283,1287,27in FHD Monitor,1,2019-08-07
1288,1293,27in FHD Monitor,1,2019-08-09
1291,1296,27in FHD Monitor,1,2019-08-12
1313,1318,27in FHD Monitor,1,2019-08-19
1365,1370,27in FHD Monitor,1,2019-08-21
1372,1377,27in FHD Monitor,1,2019-08-18
1411,1417,27in FHD Monitor,1,2019-08-28
1432,1439,27in FHD Monitor,1,2019-08-17
1453,1460,27in FHD Monitor,1,2019-08-05
1459,1466,27in FHD Monitor,1,2019-08-13
1461,1468,27in FHD Monitor,1,2019-08-18
1479,1486,27in FHD Monitor,1,2019-08-30
1497,1504,27in FHD Monitor,1,2019-08-01
1541,1548,27in FHD Monitor,1,2019-08-28
1583,1590,27in FHD Monitor,1,2019-08-23
1608,1615,27in FHD Monitor,1,2019-08-01
1609,1616,27in FHD Monitor,1,2019-08-28
1769,1777,27in FHD Monitor,1,2019-08-19
1857,1865,27in FHD Monitor,1,2019-08-07
1858,1866,27in FHD Monitor,1,2019-08-30
1906,1914,27in FHD Monitor,1,2019-08-07
1927,1935,27in FHD Monitor,1,2019-08-13
1933,1941,27in FHD Monitor,1,2019-08-14
1935,1943,27in FHD Monitor,1,2019-08-06
