,Unnamed: 0,Product,Quantity Ordered,Order Date
6,6,34in Ultrawide Monitor,1,2019-08-04
18,18,34in Ultrawide Monitor,1,2019-08-08
194,194,34in Ultrawide Monitor,1,2019-08-22
209,209,34in Ultrawide Monitor,1,2019-08-10
215,216,34in Ultrawide Monitor,1,2019-08-10
263,265,34in Ultrawide Monitor,1,2019-08-19
291,293,34in Ultrawide Monitor,1,2019-08-03
316,319,34in Ultrawide Monitor,1,2019-08-26
354,357,34in Ultrawide Monitor,1,2019-08-21
373,376,34in Ultrawide Monitor,1,2019-08-17
415,418,34in Ultrawide Monitor,1,2019-08-21
426,429,34in Ultrawide Monitor,1,2019-08-26
443,446,34in Ultrawide Monitor,1,2019-08-31
486,489,34in Ultrawide Monitor,1,2019-08-09
527,530,34in Ultrawide Monitor,1,2019-08-25
547,550,34in Ultrawide Monitor,1,2019-08-22
556,559,34in Ultrawide Monitor,1,2019-08-26
574,577,34in Ultrawide Monitor,1,2019-08-27
577,580,34in Ultrawide Monitor,1,2019-08-17
671,674,34in Ultrawide Monitor,1,2019-08-10
681,684,34in Ultrawide Monitor,1,2019-08-14
733,736,34in Ultrawide Monitor,1,2019-08-26
745,748,34in Ultrawide Monitor,1,2019-08-04
780,783,34in Ultrawide Monitor,1,2019-08-20
784,787,34in Ultrawide Monitor,1,2019-08-22
819,822,34in Ultrawide Monitor,1,2019-08-21
822,825,34in Ultrawide Monitor,1,2019-08-15
827,830,34in Ultrawide Monitor,1,2019-08-13
867,870,34in Ultrawide Monitor,1,2019-08-26
973,976,34in Ultrawide Monitor,1,2019-08-20
1006,1009,34in Ultrawide Monitor,1,2019-08-13
1012,1015,34in Ultrawide Monitor,1,2019-08-02
1059,1062,34in Ultrawide Monitor,1,2019-08-24
1113,1116,34in Ultrawide Monitor,1,2019-08-09
1209,1212,34in Ultrawide Monitor,1,2019-08-17
1217,1220,34in Ultrawide Monitor,1,2019-08-24
1272,1276,34in Ultrawide Monitor,1,2019-08-10
1276,1280,34in Ultrawide Monitor,1,2019-08-04
1309,1314,34in Ultrawide Monitor,1,2019-08-19
1325,1330,34in Ultrawide Monitor,1,2019-08-29
1348,1353,34in Ultrawide Monitor,1,2019-08-08
1379,1384,34in Ultrawide Monitor,1,2019-08-15
1532,1539,34in Ultrawide Monitor,1,2019-08-21
1550,1557,34in Ultrawide Monitor,1,2019-08-23
1560,1567,34in Ultrawide Monitor,1,2019-08-13
1624,1631,34in Ultrawide Monitor,1,2019-08-05
1631,1638,34in Ultrawide Monitor,1,2019-08-19
1840,1848,34in Ultrawide Monitor,1,2019-08-14
1883,1891,34in Ultrawide Monitor,1,2019-08-29
1923,1931,34in Ultrawide Monitor,1,2019-08-31
1925,1933,34in Ultrawide Monitor,1,2019-08-09
1938,1946,34in Ultrawide Monitor,1,2019-08-29
1940,1948,34in Ultrawide Monitor,1,2019-08-23
1949,1957,34in Ultrawide Monitor,1,2019-08-12
1974,1982,34in Ultrawide Monitor,1,2019-08-15
1978,1986,34in Ultrawide Monitor,1,2019-08-02
2001,2009,34in Ultrawide Monitor,1,2019-08-09
2040,2048,34in Ultrawide Monitor,1,2019-08-09
2051,2059,34in Ultrawide Monitor,1,2019-08-02
2054,2062,34in Ultrawide Monitor,1,2019-08-06
2064,2072,34in Ultrawide Monitor,1,2019-08-17
2098,2106,34in Ultrawide Monitor,1,2019-08-18
2177,2185,34in Ultrawide Monitor,1,2019-08-05
2190,2198,34in Ultrawide Monitor,1,2019-08-29
2226,2234,34in Ultrawide Monitor,1,2019-08-07
2233,2241,34in Ultrawide Monitor,1,2019-08-13
2298,2307,34in Ultrawide Monitor,1,2019-08-21
2310,2319,34in Ultrawide Monitor,1,2019-08-28
2334,2343,34in Ultrawide Monitor,1,2019-08-01
2346,2355,34in Ultrawide Monitor,1,2019-08-30
2354,2363,34in Ultrawide Monitor,1,2019-08-27
2374,2383,34in Ultrawide Monitor,1,2019-08-01
2378,2387,34in Ultrawide Monitor,1,2019-08-05
2411,2420,34in Ultrawide Monitor,1,2019-08-04
2494,2504,34in Ultrawide Monitor,1,2019-08-31
2513,2523,34in Ultrawide Monitor,1,2019-08-02
2529,2539,34in Ultrawide Monitor,1,2019-08-10
2534,2544,34in Ultrawide Monitor,1,2019-08-30
2568,2579,34in Ultrawide Monitor,1,2019-08-15
2601,2612,34in Ultrawide Monitor,1,2019-08-21
2603,2614,34in Ultrawide Monitor,1,2019-08-28
2607,2618,34in Ultrawide Monitor,1,2019-08-01
2682,2696,34in Ultrawide Monitor,1,2019-08-23
2698,2712,34in Ultrawide Monitor,1,2019-08-28
2711,2725,34in Ultrawide Monitor,1,2019-08-01
2717,2731,34in Ultrawide Monitor,1,2019-09-01
2721,2735,34in Ultrawide Monitor,1,2019-08-24
2723,2737,34in Ultrawide Monitor,1,2019-08-13
2757,2771,34in Ultrawide Monitor,1,2019-08-27
2801,2815,34in Ultrawide Monitor,1,2019-08-30
2876,2890,34in Ultrawide Monitor,1,2019-08-17
2893,2907,34in Ultrawide Monitor,1,2019-08-30
2923,2937,34in Ultrawide Monitor,1,2019-08-21
2932,2946,34in Ultrawide Monitor,1,2019-08-28
