,Unnamed: 0,Product,Quantity Ordered,Order Date
16,16,AAA Batteries,1,2019-08-15
19,19,AAA Batteries,1,2019-08-21
20,20,AAA Batteries,1,2019-08-08
50,50,AAA Batteries,1,2019-08-05
53,53,AAA Batteries,2,2019-08-07
56,56,AAA Batteries,3,2019-08-24
64,64,AAA Batteries,1,2019-08-29
77,77,AAA Batteries,1,2019-08-09
78,78,AAA Batteries,1,2019-08-17
79,79,AAA Batteries,2,2019-08-13
80,80,AAA Batteries,1,2019-08-02
82,82,AAA Batteries,1,2019-08-30
95,95,AAA Batteries,1,2019-08-16
107,107,AAA Batteries,2,2019-08-13
108,108,AAA Batteries,2,2019-08-06
117,117,AAA Batteries,1,2019-08-29
120,120,AAA Batteries,1,2019-08-27
148,148,AAA Batteries,2,2019-08-14
157,157,AAA Batteries,1,2019-08-22
173,173,AAA Batteries,1,2019-08-28
178,178,AAA Batteries,1,2019-08-25
216,217,AAA Batteries,1,2019-08-05
219,220,AAA Batteries,1,2019-08-13
244,246,AAA Batteries,2,2019-08-16
245,247,AAA Batteries,4,2019-08-01
249,251,AAA Batteries,1,2019-08-13
250,252,AAA Batteries,1,2019-08-23
259,261,AAA Batteries,2,2019-08-27
269,271,AAA Batteries,1,2019-08-19
279,281,AAA Batteries,2,2019-08-04
306,308,AAA Batteries,1,2019-08-15
308,310,AAA Batteries,2,2019-08-05
312,315,AAA Batteries,2,2019-08-15
313,316,AAA Batteries,1,2019-08-13
318,321,AAA Batteries,1,2019-08-09
332,335,AAA Batteries,1,2019-08-08
333,336,AAA Batteries,3,2019-08-08
337,340,AAA Batteries,1,2019-08-03
340,343,AAA Batteries,1,2019-08-02
349,352,AAA Batteries,1,2019-08-20
359,362,AAA Batteries,1,2019-08-03
378,381,AAA Batteries,3,2019-08-26
382,385,AAA Batteries,1,2019-08-05
389,392,AAA Batteries,1,2019-08-06
390,393,AAA Batteries,1,2019-08-06
397,400,AAA Batteries,1,2019-08-01
434,437,AAA Batteries,2,2019-08-01
435,438,AAA Batteries,2,2019-08-06
438,441,AAA Batteries,3,2019-08-24
442,445,AAA Batteries,1,2019-08-10
463,466,AAA Batteries,2,2019-08-20
470,473,AAA Batteries,1,2019-08-26
475,478,AAA Batteries,1,2019-08-18
479,482,AAA Batteries,7,2019-08-28
493,496,AAA Batteries,2,2019-08-12
498,501,AAA Batteries,1,2019-08-28
504,507,AAA Batteries,1,2019-08-30
515,518,AAA Batteries,2,2019-08-26
