,Unnamed: 0,Product,Quantity Ordered,Order Date
3,3,AA_Batteries,2,2019-08-29
4,4,AA_Batteries,2,2019-08-15
11,11,AA_Batteries,1,2019-08-26
12,12,AA_Batteries,1,2019-08-19
27,27,AA_Batteries,1,2019-08-25
29,29,AA_Batteries,2,2019-08-20
35,35,AA_Batteries,3,2019-08-11
37,37,AA_Batteries,2,2019-08-14
42,42,AA_Batteries,2,2019-08-30
46,46,AA_Batteries,2,2019-08-17
57,57,AA_Batteries,1,2019-08-29
67,67,AA_Batteries,2,2019-08-14
70,70,AA_Batteries,1,2019-08-24
89,89,AA_Batteries,1,2019-08-31
93,93,AA_Batteries,1,2019-08-29
101,101,AA_Batteries,2,2019-08-27
102,102,AA_Batteries,1,2019-08-25
116,116,AA_Batteries,2,2019-08-04
128,128,AA_Batteries,4,2019-08-13
137,137,AA_Batteries,4,2019-08-25
142,142,AA_Batteries,1,2019-08-24
155,155,AA_Batteries,2,2019-08-07
174,174,AA_Batteries,1,2019-08-06
181,181,AA_Batteries,1,2019-08-05
182,182,AA_Batteries,3,2019-08-29
191,191,AA_Batteries,3,2019-08-09
201,201,AA_Batteries,1,2019-08-19
214,215,AA_Batteries,2,2019-08-14
232,233,AA_Batteries,1,2019-08-14
233,234,AA_Batteries,1,2019-08-31
238,239,AA_Batteries,1,2019-08-02
239,240,AA_Batteries,2,2019-08-27
247,249,AA_Batteries,1,2019-08-27
255,257,AA_Batteries,2,2019-08-28
262,264,AA_Batteries,1,2019-08-25
270,272,AA_Batteries,1,2019-08-20
274,276,AA_Batteries,1,2019-08-12
282,284,AA_Batteries,3,2019-08-18
290,292,AA_Batteries,2,2019-08-08
301,303,AA_Batteries,1,2019-08-31
303,305,AA_Batteries,2,2019-08-05
314,317,AA_Batteries,1,2019-08-17
335,338,AA_Batteries,1,2019-08-26
347,350,AA_Batteries,1,2019-08-16
361,364,AA_Batteries,2,2019-08-19
362,365,AA_Batteries,2,2019-08-13
391,394,AA_Batteries,1,2019-08-11
398,401,AA_Batteries,1,2019-08-19
399,402,AA_Batteries,1,2019-08-01
403,406,AA_Batteries,1,2019-08-06
416,419,AA_Batteries,1,2019-08-15
429,432,AA_Batteries,1,2019-08-22
430,433,AA_Batteries,1,2019-08-21
441,444,AA_Batteries,1,2019-08-12
447,450,AA_Batteries,1,2019-08-16
451,454,AA_Batteries,1,2019-08-18
461,464,AA_Batteries,6,2019-08-22
465,468,AA_Batteries,1,2019-08-21
478,481,AA_Batteries,1,2019-08-17
503,506,AA_Batteries,1,2019-08-18
513,516,AA_Batteries,1,2019-08-19
518,521,AA_Batteries,1,2019-08-06
523,526,AA_Batteries,1,2019-08-16
533,536,AA_Batteries,1,2019-08-17
534,537,AA_Batteries,1,2019-08-07
553,556,AA_Batteries,1,2019-08-30
564,567,AA_Batteries,2,2019-08-10
565,568,AA_Batteries,1,2019-08-05
590,593,AA_Batteries,1,2019-08-02
594,597,AA_Batteries,1,2019-08-13
604,607,AA_Batteries,1,2019-08-12
609,612,AA_Batteries,1,2019-08-17
613,616,AA_Batteries,1,2019-08-29
618,621,AA_Batteries,2,2019-08-12
620,623,AA_Batteries,2,2019-08-22
647,650,AA_Batteries,2,2019-08-10
692,695,AA_Batteries,1,2019-08-23
698,701,AA_Batteries,1,2019-08-07
703,706,AA_Batteries,1,2019-08-29
734,737,AA_Batteries,1,2019-08-01
744,747,AA_Batteries,1,2019-08-01
750,753,AA_Batteries,1,2019-08-26
782,785,AA_Batteries,1,2019-08-31
790,793,AA_Batteries,2,2019-08-02
791,794,AA_Batteries,1,2019-08-31
803,806,AA_Batteries,1,2019-08-19
806,809,AA_Batteries,2,2019-08-10
812,815,AA_Batteries,1,2019-08-28
815,818,AA_Batteries,2,2019-08-03
817,820,AA_Batteries,1,2019-08-13
823,826,AA_Batteries,1,2019-08-25
832,835,AA_Batteries,3,2019-08-01
851,854,AA_Batteries,1,2019-08-20
856,859,AA_Batteries,1,2019-08-16
864,867,AA_Batteries,2,2019-08-16
876,879,AA_Batteries,2,2019-08-29
877,880,AA_Batteries,1,2019-08-12
889,892,AA_Batteries,1,2019-08-30
908,911,AA_Batteries,1,2019-08-28
931,934,AA_Batteries,1,2019-08-29
933,936,AA_Batteries,1,2019-08-24
934,937,AA_Batteries,2,2019-08-13
937,940,AA_Batteries,1,2019-08-08
939,942,AA_Batteries,1,2019-08-24
955,958,AA_Batteries,1,2019-08-19
956,959,AA_Batteries,2,2019-08-04
964,967,AA_Batteries,1,2019-08-06
995,998,AA_Batteries,2,2019-08-15
1004,1007,AA_Batteries,1,2019-08-12
1005,1008,AA_Batteries,1,2019-08-08
1016,1019,AA_Batteries,1,2019-08-12
1017,1020,AA_Batteries,1,2019-08-29
1020,1023,AA_Batteries,1,2019-08-11
1026,1029,AA_Batteries,1,2019-08-23
1028,1031,AA_Batteries,1,2019-08-26
1029,1032,AA_Batteries,1,2019-08-17
1039,1042,AA_Batteries,1,2019-08-13
1042,1045,AA_Batteries,1,2019-08-29
1050,1053,AA_Batteries,1,2019-08-26
1056,1059,AA_Batteries,3,2019-08-19
1066,1069,AA_Batteries,1,2019-08-12
1082,1085,AA_Batteries,3,2019-08-28
1092,1095,AA_Batteries,1,2019-08-16
1095,1098,AA_Batteries,2,2019-08-22
1103,1106,AA_Batteries,2,2019-08-16
1119,1122,AA_Batteries,1,2019-08-18
1127,1130,AA_Batteries,1,2019-08-25
1140,1143,AA_Batteries,2,2019-08-11
1141,1144,AA_Batteries,2,2019-08-16
1160,1163,AA_Batteries,1,2019-08-02
1161,1164,AA_Batteries,1,2019-08-11
1162,1165,AA_Batteries,1,2019-08-12
1169,1172,AA_Batteries,2,2019-08-05
1185,1188,AA_Batteries,1,2019-08-19
1226,1230,AA_Batteries,2,2019-08-18
1239,1243,AA_Batteries,1,2019-08-28
1266,1270,AA_Batteries,1,2019-08-24
1282,1286,AA_Batteries,1,2019-08-18
1295,1300,AA_Batteries,1,2019-08-26
1306,1311,AA_Batteries,1,2019-08-03
1311,1316,AA_Batteries,4,2019-08-18
1317,1322,AA_Batteries,1,2019-08-08
1318,1323,AA_Batteries,3,2019-08-03
1320,1325,AA_Batteries,2,2019-08-20
1332,1337,AA_Batteries,1,2019-08-06
1337,1342,AA_Batteries,1,2019-08-27
1339,1344,AA_Batteries,1,2019-08-12
1345,1350,AA_Batteries,1,2019-08-11
1349,1354,AA_Batteries,2,2019-08-23
1356,1361,AA_Batteries,5,2019-08-21
1359,1364,AA_Batteries,1,2019-08-31
1360,1365,AA_Batteries,2,2019-08-20
1369,1374,AA_Batteries,1,2019-08-08
1370,1375,AA_Batteries,1,2019-08-02
1373,1378,AA_Batteries,1,2019-08-01
1375,1380,AA_Batteries,1,2019-08-10
1377,1382,AA_Batteries,2,2019-08-07
1386,1391,AA_Batteries,1,2019-08-15
1395,1400,AA_Batteries,2,2019-08-03
1408,1414,AA_Batteries,1,2019-08-02
1409,1415,AA_Batteries,1,2019-08-02
1410,1416,AA_Batteries,1,2019-08-19
1413,1419,AA_Batteries,1,2019-08-04
1425,1432,AA_Batteries,1,2019-08-04
1428,1435,AA_Batteries,1,2019-08-08
1445,1452,AA_Batteries,1,2019-08-14
1448,1455,AA_Batteries,1,2019-08-27
1454,1461,AA_Batteries,1,2019-08-22
1455,1462,AA_Batteries,1,2019-08-06
1458,1465,AA_Batteries,1,2019-08-18
1490,1497,AA_Batteries,1,2019-08-30
1495,1502,AA_Batteries,2,2019-08-10
1505,1512,AA_Batteries,4,2019-08-11
1527,1534,AA_Batteries,2,2019-08-06
1545,1552,AA_Batteries,1,2019-08-18
1549,1556,AA_Batteries,2,2019-08-05
1551,1558,AA_Batteries,1,2019-08-01
1567,1574,AA_Batteries,1,2019-08-23
1613,1620,AA_Batteries,1,2019-08-14
1616,1623,AA_Batteries,1,2019-08-18
1620,1627,AA_Batteries,1,2019-08-19
1625,1632,AA_Batteries,2,2019-08-06
1636,1643,AA_Batteries,1,2019-08-28
1669,1676,AA_Batteries,1,2019-08-11
1674,1681,AA_Batteries,1,2019-08-16
1680,1687,AA_Batteries,1,2019-08-22
1682,1689,AA_Batteries,1,2019-08-28
1691,1698,AA_Batteries,1,2019-08-29
1698,1705,AA_Batteries,1,2019-08-27
1720,1727,AA_Batteries,1,2019-08-15
1729,1737,AA_Batteries,2,2019-08-29
1732,1740,AA_Batteries,1,2019-08-13
