,Unnamed: 0,Product,Quantity Ordered,Order Date
15,15,Apple Airpods Headphones,1,2019-08-23
24,24,Apple Airpods Headphones,1,2019-08-14
31,31,Apple Airpods Headphones,1,2019-08-06
38,38,Apple Airpods Headphones,1,2019-08-27
49,49,Apple Airpods Headphones,1,2019-08-10
51,51,Apple Airpods Headphones,1,2019-08-24
52,52,Apple Airpods Headphones,1,2019-08-02
54,54,Apple Airpods Headphones,1,2019-08-01
55,55,Apple Airpods Headphones,1,2019-08-21
61,61,Apple Airpods Headphones,1,2019-08-09
66,66,Apple Airpods Headphones,1,2019-08-08
68,68,Apple Airpods Headphones,1,2019-08-18
96,96,Apple Airpods Headphones,1,2019-08-06
105,105,Apple Airpods Headphones,1,2019-08-18
106,106,Apple Airpods Headphones,1,2019-08-20
118,118,Apple Airpods Headphones,1,2019-08-22
153,153,Apple Airpods Headphones,1,2019-08-15
162,162,Apple Airpods Headphones,1,2019-08-11
165,165,Apple Airpods Headphones,1,2019-08-10
167,167,Apple Airpods Headphones,1,2019-08-09
175,175,Apple Airpods Headphones,1,2019-08-28
184,184,Apple Airpods Headphones,1,2019-08-04
199,199,Apple Airpods Headphones,1,2019-08-23
212,213,Apple Airpods Headphones,1,2019-08-27
218,219,Apple Airpods Headphones,1,2019-08-27
235,236,Apple Airpods Headphones,1,2019-08-21
240,241,Apple Airpods Headphones,1,2019-08-15
267,269,Apple Airpods Headphones,1,2019-08-25
271,273,Apple Airpods Headphones,1,2019-08-16
289,291,Apple Airpods Headphones,1,2019-08-02
293,295,Apple Airpods Headphones,1,2019-08-10
304,306,Apple Airpods Headphones,1,2019-08-10
310,313,Apple Airpods Headphones,1,2019-08-23
322,325,Apple Airpods Headphones,1,2019-08-20
348,351,Apple Airpods Headphones,1,2019-08-15
360,363,Apple Airpods Headphones,1,2019-08-10
365,368,Apple Airpods Headphones,1,2019-08-09
369,372,Apple Airpods Headphones,1,2019-08-15
372,375,Apple Airpods Headphones,1,2019-08-11
377,380,Apple Airpods Headphones,1,2019-08-31
394,397,Apple Airpods Headphones,1,2019-08-25
421,424,Apple Airpods Headphones,1,2019-08-11
428,431,Apple Airpods Headphones,1,2019-08-28
431,434,Apple Airpods Headphones,1,2019-08-29
439,442,Apple Airpods Headphones,1,2019-08-14
440,443,Apple Airpods Headphones,1,2019-08-27
445,448,Apple Airpods Headphones,1,2019-08-16
454,457,Apple Airpods Headphones,1,2019-08-15
456,459,Apple Airpods Headphones,1,2019-08-27
458,461,Apple Airpods Headphones,1,2019-08-24
459,462,Apple Airpods Headphones,1,2019-08-06
464,467,Apple Airpods Headphones,1,2019-08-11
466,469,Apple Airpods Headphones,1,2019-08-02
492,495,Apple Airpods Headphones,1,2019-08-26
499,502,Apple Airpods Headphones,1,2019-08-11
537,540,Apple Airpods Headphones,1,2019-08-09
567,570,Apple Airpods Headphones,1,2019-08-18
578,581,Apple Airpods Headphones,1,2019-08-16
579,582,Apple Airpods Headphones,1,2019-08-12
595,598,Apple Airpods Headphones,1,2019-08-15
608,611,Apple Airpods Headphones,1,2019-08-25
612,615,Apple Airpods Headphones,1,2019-08-03
631,634,Apple Airpods Headphones,1,2019-08-17
632,635,Apple Airpods Headphones,1,2019-08-15
636,639,Apple Airpods Headphones,1,2019-08-21
641,644,Apple Airpods Headphones,1,2019-08-09
644,647,Apple Airpods Headphones,1,2019-08-19
670,673,Apple Airpods Headphones,1,2019-08-16
678,681,Apple Airpods Headphones,1,2019-08-27
679,682,Apple Airpods Headphones,1,2019-08-24
680,683,Apple Airpods Headphones,1,2019-08-07
689,692,Apple Airpods Headphones,1,2019-08-10
722,725,Apple Airpods Headphones,1,2019-08-28
723,726,Apple Airpods Headphones,1,2019-08-09
725,728,Apple Airpods Headphones,1,2019-08-25
760,763,Apple Airpods Headphones,1,2019-08-24
767,770,Apple Airpods Headphones,1,2019-08-23
771,774,Apple Airpods Headphones,1,2019-08-12
773,776,Apple Airpods Headphones,1,2019-08-05
785,788,Apple Airpods Headphones,1,2019-08-23
809,812,Apple Airpods Headphones,1,2019-08-22
818,821,Apple Airpods Headphones,1,2019-08-25
824,827,Apple Airpods Headphones,1,2019-08-30
829,832,Apple Airpods Headphones,1,2019-08-17
830,833,Apple Airpods Headphones,1,2019-08-05
837,840,Apple Airpods Headphones,1,2019-08-19
855,858,Apple Airpods Headphones,1,2019-08-28
863,866,Apple Airpods Headphones,1,2019-08-14
866,869,Apple Airpods Headphones,1,2019-08-29
872,875,Apple Airpods Headphones,1,2019-08-10
893,896,Apple Airpods Headphones,1,2019-08-28
913,916,Apple Airpods Headphones,1,2019-08-18
924,927,Apple Airpods Headphones,1,2019-08-15
940,943,Apple Airpods Headphones,1,2019-08-02
941,944,Apple Airpods Headphones,1,2019-08-28
942,945,Apple Airpods Headphones,1,2019-08-31
951,954,Apple Airpods Headphones,1,2019-08-16
954,957,Apple Airpods Headphones,1,2019-08-25
958,961,Apple Airpods Headphones,1,2019-08-26
963,966,Apple Airpods Headphones,1,2019-08-30
966,969,Apple Airpods Headphones,1,2019-08-29
968,971,Apple Airpods Headphones,1,2019-08-24
970,973,Apple Airpods Headphones,1,2019-08-26
972,975,Apple Airpods Headphones,1,2019-08-03
983,986,Apple Airpods Headphones,1,2019-08-06
1024,1027,Apple Airpods Headphones,1,2019-08-04
1051,1054,Apple Airpods Headphones,1,2019-08-06
1053,1056,Apple Airpods Headphones,1,2019-08-28
1067,1070,Apple Airpods Headphones,1,2019-08-23
1073,1076,Apple Airpods Headphones,1,2019-08-29
1075,1078,Apple Airpods Headphones,1,2019-08-23
1081,1084,Apple Airpods Headphones,1,2019-08-25
1088,1091,Apple Airpods Headphones,1,2019-08-16
1112,1115,Apple Airpods Headphones,1,2019-08-05
1118,1121,Apple Airpods Headphones,1,2019-08-18
1126,1129,Apple Airpods Headphones,1,2019-08-12
1168,1171,Apple Airpods Headphones,1,2019-08-27
1189,1192,Apple Airpods Headphones,1,2019-08-09
1206,1209,Apple Airpods Headphones,1,2019-08-18
1210,1213,Apple Airpods Headphones,1,2019-08-31
1230,1234,Apple Airpods Headphones,1,2019-08-17
1234,1238,Apple Airpods Headphones,1,2019-08-16
1246,1250,Apple Airpods Headphones,1,2019-08-23
1247,1251,Apple Airpods Headphones,1,2019-08-03
1255,1259,Apple Airpods Headphones,1,2019-08-02
1277,1281,Apple Airpods Headphones,1,2019-08-21
1278,1282,Apple Airpods Headphones,1,2019-08-07
1281,1285,Apple Airpods Headphones,1,2019-08-26
1308,1313,Apple Airpods Headphones,1,2019-08-15
1330,1335,Apple Airpods Headphones,1,2019-08-08
1333,1338,Apple Airpods Headphones,1,2019-08-08
1335,1340,Apple Airpods Headphones,1,2019-08-24
1353,1358,Apple Airpods Headphones,1,2019-08-20
1363,1368,Apple Airpods Headphones,1,2019-08-25
1399,1404,Apple Airpods Headphones,1,2019-08-10
1406,1411,Apple Airpods Headphones,1,2019-08-21
1416,1422,Apple Airpods Headphones,1,2019-08-04
1429,1436,Apple Airpods Headphones,1,2019-08-14
1434,1441,Apple Airpods Headphones,1,2019-08-17
1462,1469,Apple Airpods Headphones,1,2019-08-04
1464,1471,Apple Airpods Headphones,1,2019-08-19
1465,1472,Apple Airpods Headphones,1,2019-08-11
1470,1477,Apple Airpods Headphones,1,2019-08-29
1471,1478,Apple Airpods Headphones,1,2019-08-19
1480,1487,Apple Airpods Headphones,1,2019-08-09
1481,1488,Apple Airpods Headphones,1,2019-08-08
1496,1503,Apple Airpods Headphones,1,2019-08-04
