,Unnamed: 0,Product,Quantity Ordered,Order Date
1,1,Bose SoundSport Headphones,1,2019-08-15
25,25,Bose SoundSport Headphones,1,2019-08-04
33,33,Bose SoundSport Headphones,1,2019-08-08
81,81,Bose SoundSport Headphones,1,2019-08-19
92,92,Bose SoundSport Headphones,1,2019-08-27
97,97,Bose SoundSport Headphones,1,2019-08-22
109,109,Bose SoundSport Headphones,1,2019-08-25
169,169,Bose SoundSport Headphones,1,2019-08-10
190,190,Bose SoundSport Headphones,1,2019-08-28
204,204,Bose SoundSport Headphones,1,2019-08-30
222,223,Bose SoundSport Headphones,1,2019-08-21
236,237,Bose SoundSport Headphones,1,2019-08-26
272,274,Bose SoundSport Headphones,1,2019-08-30
280,282,Bose SoundSport Headphones,1,2019-08-25
285,287,Bose SoundSport Headphones,1,2019-08-28
286,288,Bose SoundSport Headphones,1,2019-08-27
299,301,Bose SoundSport Headphones,1,2019-08-31
338,341,Bose SoundSport Headphones,1,2019-08-31
344,347,Bose SoundSport Headphones,1,2019-08-26
367,370,Bose SoundSport Headphones,1,2019-08-13
383,386,Bose SoundSport Headphones,1,2019-08-11
396,399,Bose SoundSport Headphones,1,2019-08-12
401,404,Bose SoundSport Headphones,1,2019-08-05
406,409,Bose SoundSport Headphones,1,2019-08-30
413,416,Bose SoundSport Headphones,1,2019-08-16
419,422,Bose SoundSport Headphones,1,2019-08-21
448,451,Bose SoundSport Headphones,1,2019-08-25
468,471,Bose SoundSport Headphones,1,2019-08-13
476,479,Bose SoundSport Headphones,1,2019-08-18
483,486,Bose SoundSport Headphones,1,2019-08-21
485,488,Bose SoundSport Headphones,1,2019-08-26
491,494,Bose SoundSport Headphones,1,2019-08-23
496,499,Bose SoundSport Headphones,1,2019-08-07
497,500,Bose SoundSport Headphones,1,2019-08-14
509,512,Bose SoundSport Headphones,1,2019-08-06
512,515,Bose SoundSport Headphones,1,2019-08-22
517,520,Bose SoundSport Headphones,1,2019-08-04
521,524,Bose SoundSport Headphones,1,2019-08-18
536,539,Bose SoundSport Headphones,1,2019-08-24
542,545,Bose SoundSport Headphones,1,2019-08-16
544,547,Bose SoundSport Headphones,1,2019-08-08
548,551,Bose SoundSport Headphones,1,2019-08-31
568,571,Bose SoundSport Headphones,1,2019-08-14
569,572,Bose SoundSport Headphones,1,2019-08-23
575,578,Bose SoundSport Headphones,1,2019-08-31
583,586,Bose SoundSport Headphones,1,2019-08-18
606,609,Bose SoundSport Headphones,1,2019-08-30
622,625,Bose SoundSport Headphones,1,2019-08-11
627,630,Bose SoundSport Headphones,1,2019-08-24
633,636,Bose SoundSport Headphones,1,2019-08-25
639,642,Bose SoundSport Headphones,1,2019-08-25
669,672,Bose SoundSport Headphones,1,2019-08-05
683,686,Bose SoundSport Headphones,1,2019-08-25
705,708,Bose SoundSport Headphones,1,2019-08-14
732,735,Bose SoundSport Headphones,1,2019-08-31
735,738,Bose SoundSport Headphones,1,2019-08-24
752,755,Bose SoundSport Headphones,1,2019-08-04
765,768,Bose SoundSport Headphones,1,2019-08-13
796,799,Bose SoundSport Headphones,1,2019-08-07
820,823,Bose SoundSport Headphones,1,2019-08-11
828,831,Bose SoundSport Headphones,1,2019-08-25
843,846,Bose SoundSport Headphones,1,2019-08-22
861,864,Bose SoundSport Headphones,1,2019-08-10
865,868,Bose SoundSport Headphones,1,2019-08-31
895,898,Bose SoundSport Headphones,1,2019-08-11
904,907,Bose SoundSport Headphones,1,2019-08-04
905,908,Bose SoundSport Headphones,1,2019-08-13
910,913,Bose SoundSport Headphones,1,2019-08-21
928,931,Bose SoundSport Headphones,1,2019-08-15
929,932,Bose SoundSport Headphones,1,2019-08-01
930,933,Bose SoundSport Headphones,1,2019-08-04
935,938,Bose SoundSport Headphones,1,2019-08-05
944,947,Bose SoundSport Headphones,1,2019-08-23
949,952,Bose SoundSport Headphones,1,2019-08-10
961,964,Bose SoundSport Headphones,1,2019-08-27
962,965,Bose SoundSport Headphones,1,2019-08-13
977,980,Bose SoundSport Headphones,1,2019-08-29
1009,1012,Bose SoundSport Headphones,1,2019-08-25
