,Unnamed: 0,Product,Quantity Ordered,Order Date
34,34,Flatscreen TV,1,2019-08-11
65,65,Flatscreen TV,1,2019-08-09
71,71,Flatscreen TV,1,2019-08-30
83,83,Flatscreen TV,1,2019-08-25
91,91,Flatscreen TV,1,2019-08-18
170,170,Flatscreen TV,1,2019-08-29
188,188,Flatscreen TV,1,2019-08-22
227,228,Flatscreen TV,1,2019-08-07
300,302,Flatscreen TV,1,2019-08-05
355,358,Flatscreen TV,1,2019-08-10
357,360,Flatscreen TV,1,2019-08-01
417,420,Flatscreen TV,1,2019-08-02
420,423,Flatscreen TV,1,2019-08-13
474,477,Flatscreen TV,1,2019-08-20
519,522,Flatscreen TV,1,2019-08-17
526,529,Flatscreen TV,1,2019-08-03
535,538,Flatscreen TV,1,2019-08-03
642,645,Flatscreen TV,1,2019-08-09
649,652,Flatscreen TV,1,2019-08-04
721,724,Flatscreen TV,1,2019-08-08
755,758,Flatscreen TV,1,2019-08-28
756,759,Flatscreen TV,1,2019-08-31
777,780,Flatscreen TV,1,2019-08-11
852,855,Flatscreen TV,1,2019-08-17
871,874,Flatscreen TV,1,2019-08-03
884,887,Flatscreen TV,1,2019-08-05
896,899,Flatscreen TV,1,2019-08-27
938,941,Flatscreen TV,1,2019-08-03
989,992,Flatscreen TV,1,2019-08-28
994,997,Flatscreen TV,1,2019-08-23
1035,1038,Flatscreen TV,1,2019-08-07
1077,1080,Flatscreen TV,1,2019-08-23
1099,1102,Flatscreen TV,1,2019-08-03
1114,1117,Flatscreen TV,1,2019-08-22
1150,1153,Flatscreen TV,1,2019-08-17
1153,1156,Flatscreen TV,1,2019-08-29
1176,1179,Flatscreen TV,1,2019-08-25
1215,1218,Flatscreen TV,1,2019-08-29
1219,1223,Flatscreen TV,1,2019-08-13
1229,1233,Flatscreen TV,1,2019-08-18
1268,1272,Flatscreen TV,1,2019-08-01
1279,1283,Flatscreen TV,1,2019-08-19
1298,1303,Flatscreen TV,1,2019-08-21
1357,1362,Flatscreen TV,1,2019-08-17
1391,1396,Flatscreen TV,1,2019-08-20
1401,1406,Flatscreen TV,1,2019-08-07
1430,1437,Flatscreen TV,1,2019-08-25
1449,1456,Flatscreen TV,1,2019-08-11
1488,1495,Flatscreen TV,1,2019-08-17
1512,1519,Flatscreen TV,1,2019-08-22
1513,1520,Flatscreen TV,1,2019-08-19
1518,1525,Flatscreen TV,1,2019-08-17
1599,1606,Flatscreen TV,1,2019-08-20
1621,1628,Flatscreen TV,1,2019-08-05
1684,1691,Flatscreen TV,1,2019-08-31
1696,1703,Flatscreen TV,1,2019-08-04
1697,1704,Flatscreen TV,1,2019-08-29
1777,1785,Flatscreen TV,1,2019-08-27
1802,1810,Flatscreen TV,1,2019-08-11
1805,1813,Flatscreen TV,1,2019-08-30
1817,1825,Flatscreen TV,1,2019-08-22
1833,1841,Flatscreen TV,1,2019-08-17
1852,1860,Flatscreen TV,1,2019-08-02
1879,1887,Flatscreen TV,1,2019-08-16
1882,1890,Flatscreen TV,1,2019-08-22
1963,1971,Flatscreen TV,1,2019-08-14
1996,2004,Flatscreen TV,1,2019-08-31
2011,2019,Flatscreen TV,1,2019-08-26
2068,2076,Flatscreen TV,1,2019-08-23
2228,2236,Flatscreen TV,1,2019-08-04
2249,2257,Flatscreen TV,1,2019-08-17
2280,2288,Flatscreen TV,1,2019-08-15
2318,2327,Flatscreen TV,1,2019-08-31
2415,2424,Flatscreen TV,1,2019-08-23
2420,2429,Flatscreen TV,1,2019-08-16
2465,2474,Flatscreen TV,1,2019-08-14
2510,2520,Flatscreen TV,1,2019-08-25
2524,2534,Flatscreen TV,1,2019-08-06
2570,2581,Flatscreen TV,1,2019-08-17
2606,2617,Flatscreen TV,1,2019-08-06
2691,2705,Flatscreen TV,1,2019-08-21
2693,2707,Flatscreen TV,1,2019-08-10
2780,2794,Flatscreen TV,1,2019-08-07
2818,2832,Flatscreen TV,1,2019-08-02
2828,2842,Flatscreen TV,1,2019-08-21
2846,2860,Flatscreen TV,1,2019-08-26
2960,2974,Flatscreen TV,1,2019-08-06
2976,2990,Flatscreen TV,1,2019-08-11
2979,2993,Flatscreen TV,1,2019-08-08
2996,3010,Flatscreen TV,1,2019-08-13
3054,3068,Flatscreen TV,1,2019-08-24
3156,3171,Flatscreen TV,1,2019-08-20
3220,3235,Flatscreen TV,1,2019-08-25
3275,3290,Flatscreen TV,1,2019-08-07
3309,3325,Flatscreen TV,1,2019-08-02
3317,3333,Flatscreen TV,1,2019-08-13
3318,3334,Flatscreen TV,1,2019-08-24
3347,3364,Flatscreen TV,1,2019-08-28
3366,3383,Flatscreen TV,1,2019-08-16
3390,3407,Flatscreen TV,1,2019-08-28
3394,3411,Flatscreen TV,1,2019-08-22
3404,3421,Flatscreen TV,1,2019-08-28
3409,3426,Flatscreen TV,1,2019-08-15
3420,3437,Flatscreen TV,1,2019-08-11
3451,3468,Flatscreen TV,1,2019-08-19
3498,3515,Flatscreen TV,1,2019-08-28
3576,3593,Flatscreen TV,1,2019-08-15
3663,3680,Flatscreen TV,1,2019-08-11
3701,3718,Flatscreen TV,1,2019-08-12
3781,3798,Flatscreen TV,1,2019-08-15
3793,3810,Flatscreen TV,1,2019-08-21
3825,3842,Flatscreen TV,1,2019-08-23
3839,3856,Flatscreen TV,1,2019-08-27
3856,3873,Flatscreen TV,1,2019-08-20
3880,3897,Flatscreen TV,1,2019-08-03
3899,3916,Flatscreen TV,1,2019-08-06
3911,3928,Flatscreen TV,1,2019-08-25
3919,3936,Flatscreen TV,1,2019-08-26
4066,4083,Flatscreen TV,1,2019-08-28
4069,4086,Flatscreen TV,1,2019-08-05
4125,4142,Flatscreen TV,1,2019-08-03
4136,4153,Flatscreen TV,1,2019-08-12
4175,4192,Flatscreen TV,1,2019-08-08
4189,4206,Flatscreen TV,1,2019-08-27
4208,4225,Flatscreen TV,1,2019-08-09
4249,4266,Flatscreen TV,1,2019-08-23
4349,4368,Flatscreen TV,1,2019-08-26
4397,4416,Flatscreen TV,1,2019-08-10
4398,4417,Flatscreen TV,1,2019-08-01
4407,4426,Flatscreen TV,1,2019-08-19
4482,4502,Flatscreen TV,1,2019-08-17
4487,4507,Flatscreen TV,1,2019-08-24
4499,4519,Flatscreen TV,1,2019-08-27
4517,4537,Flatscreen TV,1,2019-08-19
4556,4576,Flatscreen TV,1,2019-08-22
4563,4583,Flatscreen TV,1,2019-08-11
4566,4586,Flatscreen TV,1,2019-08-03
4591,4611,Flatscreen TV,1,2019-08-11
4595,4615,Flatscreen TV,1,2019-08-02
4617,4637,Flatscreen TV,1,2019-08-06
4628,4648,Flatscreen TV,1,2019-08-29
4630,4650,Flatscreen TV,1,2019-08-27
4631,4651,Flatscreen TV,1,2019-08-09
4681,4702,Flatscreen TV,1,2019-08-12
4779,4800,Flatscreen TV,1,2019-08-30
4810,4831,Flatscreen TV,1,2019-08-13
4886,4907,Flatscreen TV,1,2019-08-09
4897,4918,Flatscreen TV,1,2019-08-15
4904,4925,Flatscreen TV,1,2019-08-18
4907,4928,Flatscreen TV,1,2019-08-06
4943,4964,Flatscreen TV,1,2019-08-13
4953,4974,Flatscreen TV,1,2019-08-11
4972,4993,Flatscreen TV,1,2019-08-27
4985,5006,Flatscreen TV,1,2019-08-24
4999,5020,Flatscreen TV,1,2019-08-20
5016,5037,Flatscreen TV,1,2019-08-01
5083,5104,Flatscreen TV,1,2019-08-05
5129,5150,Flatscreen TV,1,2019-08-03
5132,5153,Flatscreen TV,1,2019-08-28
5165,5186,Flatscreen TV,1,2019-08-02
5251,5272,Flatscreen TV,1,2019-08-30
5274,5295,Flatscreen TV,1,2019-08-06
5286,5307,Flatscreen TV,1,2019-08-02
5300,5321,Flatscreen TV,1,2019-08-05
