,Unnamed: 0,Product,Quantity Ordered,Order Date
36,36,Google Phone,1,2019-08-14
48,48,Google Phone,1,2019-08-11
62,62,Google Phone,1,2019-08-02
104,104,Google Phone,1,2019-08-07
130,130,Google Phone,1,2019-08-16
132,132,Google Phone,1,2019-08-01
143,143,Google Phone,1,2019-08-01
185,185,Google Phone,1,2019-08-31
205,205,Google Phone,1,2019-08-09
211,212,Google Phone,1,2019-08-14
281,283,Google Phone,1,2019-08-30
315,318,Google Phone,1,2019-08-15
328,331,Google Phone,1,2019-08-20
371,374,Google Phone,1,2019-08-05
423,426,Google Phone,1,2019-08-15
436,439,Google Phone,2,2019-08-22
524,527,Google Phone,1,2019-08-30
557,560,Google Phone,1,2019-08-27
571,574,Google Phone,1,2019-08-07
592,595,Google Phone,1,2019-08-17
637,640,Google Phone,1,2019-08-20
672,675,Google Phone,1,2019-08-02
674,677,Google Phone,1,2019-08-27
768,771,Google Phone,1,2019-08-02
781,784,Google Phone,1,2019-08-14
874,877,Google Phone,1,2019-08-17
946,949,Google Phone,1,2019-08-16
981,984,Google Phone,1,2019-08-10
1036,1039,Google Phone,1,2019-08-09
1057,1060,Google Phone,1,2019-08-20
1196,1199,Google Phone,1,2019-08-21
1203,1206,Google Phone,1,2019-08-13
1237,1241,Google Phone,1,2019-08-31
1285,1289,Google Phone,1,2019-08-19
1299,1304,Google Phone,1,2019-08-07
1328,1333,Google Phone,1,2019-08-16
1341,1346,Google Phone,1,2019-08-23
1346,1351,Google Phone,1,2019-08-11
1364,1369,Google Phone,1,2019-08-10
1421,1428,Google Phone,1,2019-08-06
1482,1489,Google Phone,1,2019-08-15
1562,1569,Google Phone,1,2019-08-20
1581,1588,Google Phone,1,2019-08-27
1592,1599,Google Phone,1,2019-08-08
1598,1605,Google Phone,1,2019-08-14
1622,1629,Google Phone,1,2019-08-10
1681,1688,Google Phone,1,2019-08-02
1706,1713,Google Phone,1,2019-08-02
1708,1715,Google Phone,1,2019-08-27
1722,1730,Google Phone,1,2019-08-04
1772,1780,Google Phone,1,2019-08-26
1789,1797,Google Phone,1,2019-08-02
1794,1802,Google Phone,1,2019-08-05
1873,1881,Google Phone,1,2019-08-02
1892,1900,Google Phone,1,2019-08-09
2009,2017,Google Phone,1,2019-08-19
2059,2067,Google Phone,1,2019-08-25
2062,2070,Google Phone,1,2019-08-16
2094,2102,Google Phone,1,2019-08-02
2106,2114,Google Phone,1,2019-08-30
2114,2122,Google Phone,1,2019-08-06
2118,2126,Google Phone,1,2019-08-25
2121,2129,Google Phone,1,2019-08-16
2129,2137,Google Phone,1,2019-08-07
2162,2170,Google Phone,1,2019-08-18
2193,2201,Google Phone,1,2019-08-07
2220,2228,Google Phone,1,2019-08-19
2253,2261,Google Phone,1,2019-08-24
2258,2266,Google Phone,1,2019-08-16
2266,2274,Google Phone,1,2019-08-27
2300,2309,Google Phone,1,2019-08-19
2355,2364,Google Phone,1,2019-08-05
2366,2375,Google Phone,1,2019-08-09
2369,2378,Google Phone,1,2019-08-30
2507,2517,Google Phone,1,2019-08-09
2528,2538,Google Phone,1,2019-08-20
2556,2566,Google Phone,1,2019-08-24
2573,2584,Google Phone,1,2019-08-21
2620,2631,Google Phone,1,2019-08-14
2628,2639,Google Phone,1,2019-08-01
2728,2742,Google Phone,1,2019-08-03
2735,2749,Google Phone,1,2019-08-09
2742,2756,Google Phone,1,2019-08-14
2778,2792,Google Phone,1,2019-08-24
2803,2817,Google Phone,1,2019-08-01
2808,2822,Google Phone,1,2019-08-07
2819,2833,Google Phone,1,2019-08-15
2824,2838,Google Phone,1,2019-08-24
3008,3022,Google Phone,1,2019-08-10
3095,3109,Google Phone,1,2019-08-15
3128,3143,Google Phone,1,2019-08-18
3138,3153,Google Phone,1,2019-08-14
3155,3170,Google Phone,1,2019-08-19
3203,3218,Google Phone,1,2019-08-23
3270,3285,Google Phone,1,2019-08-31
3277,3292,Google Phone,1,2019-08-30
3314,3330,Google Phone,1,2019-08-09
3324,3340,Google Phone,1,2019-08-02
3351,3368,Google Phone,1,2019-08-11
3385,3402,Google Phone,1,2019-08-12
