,Unnamed: 0,Product,Quantity Ordered,Order Date
356,359,LG Dryer,1,2019-08-02
402,405,LG Dryer,1,2019-08-06
427,430,LG Dryer,1,2019-08-06
778,781,LG Dryer,1,2019-08-04
886,889,LG Dryer,1,2019-08-12
936,939,LG Dryer,1,2019-08-05
965,968,LG Dryer,1,2019-08-09
1344,1349,LG Dryer,1,2019-08-03
1548,1555,LG Dryer,1,2019-08-10
2500,2510,LG Dryer,1,2019-08-20
2576,2587,LG Dryer,1,2019-08-29
2736,2750,LG Dryer,1,2019-08-29
3641,3658,LG Dryer,1,2019-08-02
3667,3684,LG Dryer,1,2019-08-19
3951,3968,LG Dryer,1,2019-08-30
3972,3989,LG Dryer,1,2019-08-14
5174,5195,LG Dryer,1,2019-08-06
5202,5223,LG Dryer,1,2019-08-07
5258,5279,LG Dryer,1,2019-08-28
6258,6283,LG Dryer,1,2019-08-03
6523,6550,LG Dryer,1,2019-08-21
6933,6962,LG Dryer,1,2019-08-28
7028,7058,LG Dryer,1,2019-08-17
7187,7218,LG Dryer,1,2019-08-06
7194,7225,LG Dryer,1,2019-08-13
7214,7245,LG Dryer,1,2019-08-12
7324,7355,LG Dryer,1,2019-08-16
7481,7513,LG Dryer,1,2019-08-10
7692,7724,LG Dryer,1,2019-08-16
8496,8532,LG Dryer,1,2019-08-28
8811,8851,LG Dryer,1,2019-08-24
9076,9117,LG Dryer,1,2019-08-11
9104,9145,LG Dryer,1,2019-08-12
9876,9922,LG Dryer,1,2019-08-29
10177,10224,LG Dryer,1,2019-08-16
10196,10243,LG Dryer,1,2019-08-25
10285,10332,LG Dryer,1,2019-08-10
10568,10617,LG Dryer,1,2019-08-23
10941,10994,LG Dryer,1,2019-08-17
11044,11098,LG Dryer,1,2019-08-21
11337,11391,LG Dryer,1,2019-08-06
11403,11457,LG Dryer,1,2019-08-02
11436,11490,LG Dryer,1,2019-08-28
11697,11751,LG Dryer,1,2019-08-12
11825,11879,LG Dryer,1,2019-08-31
11930,11984,LG Dryer,1,2019-08-29
