,Unnamed: 0,Product,Quantity Ordered,Order Date
10,10,LG Washing Machine,1,2019-08-09
462,465,LG Washing Machine,1,2019-08-16
617,620,LG Washing Machine,1,2019-08-04
665,668,LG Washing Machine,1,2019-08-16
950,953,LG Washing Machine,1,2019-08-10
1068,1071,LG Washing Machine,1,2019-08-02
1101,1104,LG Washing Machine,1,2019-08-12
1155,1158,LG Washing Machine,1,2019-08-08
1387,1392,LG Washing Machine,1,2019-08-15
1627,1634,LG Washing Machine,1,2019-08-04
2302,2311,LG Washing Machine,1,2019-08-13
3009,3023,LG Washing Machine,1,2019-08-28
3072,3086,LG Washing Machine,1,2019-08-16
3084,3098,LG Washing Machine,1,2019-08-06
3147,3162,LG Washing Machine,1,2019-08-10
3330,3346,LG Washing Machine,1,2019-08-21
3477,3494,LG Washing Machine,1,2019-08-19
3583,3600,LG Washing Machine,1,2019-08-25
4005,4022,LG Washing Machine,1,2019-08-02
4184,4201,LG Washing Machine,1,2019-08-31
4287,4306,LG Washing Machine,1,2019-08-13
4310,4329,LG Washing Machine,1,2019-08-28
4603,4623,LG Washing Machine,1,2019-08-08
4668,4689,LG Washing Machine,1,2019-08-20
5045,5066,LG Washing Machine,1,2019-08-08
6866,6895,LG Washing Machine,1,2019-08-27
6892,6921,LG Washing Machine,1,2019-08-16
7069,7099,LG Washing Machine,1,2019-08-04
7162,7193,LG Washing Machine,1,2019-08-06
7557,7589,LG Washing Machine,1,2019-08-08
7838,7871,LG Washing Machine,1,2019-08-20
7853,7886,LG Washing Machine,1,2019-08-31
7888,7922,LG Washing Machine,1,2019-08-13
8192,8228,LG Washing Machine,1,2019-08-17
8202,8238,LG Washing Machine,1,2019-08-20
8293,8329,LG Washing Machine,1,2019-08-02
8494,8530,LG Washing Machine,1,2019-08-24
8517,8553,LG Washing Machine,1,2019-08-25
8944,8985,LG Washing Machine,1,2019-08-14
9218,9261,LG Washing Machine,1,2019-08-28
9538,9582,LG Washing Machine,1,2019-08-05
10215,10262,LG Washing Machine,1,2019-08-26
10314,10362,LG Washing Machine,1,2019-08-11
10752,10803,LG Washing Machine,1,2019-08-19
11002,11056,LG Washing Machine,1,2019-08-18
11291,11345,LG Washing Machine,1,2019-08-16
11845,11899,LG Washing Machine,1,2019-08-07
11941,11995,LG Washing Machine,1,2019-08-14
