,Unnamed: 0,Product,Quantity Ordered,Order Date
14,14,Lightning Charging Cable,1,2019-08-09
26,26,Lightning Charging Cable,1,2019-08-21
76,76,Lightning Charging Cable,1,2019-08-27
86,86,Lightning Charging Cable,1,2019-08-18
87,87,Lightning Charging Cable,1,2019-08-13
110,110,Lightning Charging Cable,1,2019-08-29
113,113,Lightning Charging Cable,1,2019-08-18
119,119,Lightning Charging Cable,1,2019-08-06
122,122,Lightning Charging Cable,1,2019-08-21
131,131,Lightning Charging Cable,2,2019-08-19
134,134,Lightning Charging Cable,1,2019-08-21
144,144,Lightning Charging Cable,1,2019-08-23
147,147,Lightning Charging Cable,1,2019-08-04
152,152,Lightning Charging Cable,1,2019-08-24
154,154,Lightning Charging Cable,1,2019-08-04
161,161,Lightning Charging Cable,1,2019-08-30
171,171,Lightning Charging Cable,1,2019-08-21
193,193,Lightning Charging Cable,1,2019-08-01
208,208,Lightning Charging Cable,1,2019-08-26
226,227,Lightning Charging Cable,1,2019-08-11
228,229,Lightning Charging Cable,1,2019-08-08
234,235,Lightning Charging Cable,1,2019-08-11
241,242,Lightning Charging Cable,1,2019-08-21
242,244,Lightning Charging Cable,1,2019-08-14
248,250,Lightning Charging Cable,1,2019-08-18
254,256,Lightning Charging Cable,1,2019-08-04
277,279,Lightning Charging Cable,1,2019-08-22
278,280,Lightning Charging Cable,1,2019-08-16
284,286,Lightning Charging Cable,2,2019-08-12
294,296,Lightning Charging Cable,1,2019-08-23
296,298,Lightning Charging Cable,1,2019-08-12
305,307,Lightning Charging Cable,1,2019-08-15
330,333,Lightning Charging Cable,1,2019-08-21
334,337,Lightning Charging Cable,2,2019-08-20
351,354,Lightning Charging Cable,1,2019-08-06
352,355,Lightning Charging Cable,1,2019-08-30
363,366,Lightning Charging Cable,2,2019-08-25
379,382,Lightning Charging Cable,1,2019-08-23
381,384,Lightning Charging Cable,1,2019-08-12
385,388,Lightning Charging Cable,1,2019-08-14
386,389,Lightning Charging Cable,1,2019-08-21
388,391,Lightning Charging Cable,2,2019-08-08
392,395,Lightning Charging Cable,1,2019-08-28
408,411,Lightning Charging Cable,1,2019-08-11
409,412,Lightning Charging Cable,1,2019-08-01
414,417,Lightning Charging Cable,1,2019-08-16
432,435,Lightning Charging Cable,1,2019-08-31
450,453,Lightning Charging Cable,1,2019-08-10
471,474,Lightning Charging Cable,1,2019-08-07
490,493,Lightning Charging Cable,1,2019-08-22
495,498,Lightning Charging Cable,1,2019-08-23
500,503,Lightning Charging Cable,1,2019-08-08
501,504,Lightning Charging Cable,1,2019-08-28
511,514,Lightning Charging Cable,1,2019-08-01
555,558,Lightning Charging Cable,1,2019-08-16
561,564,Lightning Charging Cable,1,2019-08-07
563,566,Lightning Charging Cable,1,2019-08-04
572,575,Lightning Charging Cable,1,2019-08-29
581,584,Lightning Charging Cable,2,2019-08-13
582,585,Lightning Charging Cable,1,2019-08-25
