,Unnamed: 0,Product,Quantity Ordered,Order Date
9,9,Macbook Pro Laptop,1,2019-08-07
40,40,Macbook Pro Laptop,1,2019-08-04
41,41,Macbook Pro Laptop,1,2019-08-28
75,75,Macbook Pro Laptop,1,2019-08-11
217,218,Macbook Pro Laptop,1,2019-08-09
224,225,Macbook Pro Laptop,1,2019-08-01
320,323,Macbook Pro Laptop,1,2019-08-14
342,345,Macbook Pro Laptop,1,2019-08-29
545,548,Macbook Pro Laptop,1,2019-08-12
587,590,Macbook Pro Laptop,1,2019-08-06
635,638,Macbook Pro Laptop,1,2019-08-13
654,657,Macbook Pro Laptop,1,2019-08-24
740,743,Macbook Pro Laptop,1,2019-08-04
742,745,Macbook Pro Laptop,1,2019-08-10
770,773,Macbook Pro Laptop,1,2019-08-25
801,804,Macbook Pro Laptop,1,2019-08-19
816,819,Macbook Pro Laptop,1,2019-08-25
919,922,Macbook Pro Laptop,1,2019-08-31
932,935,Macbook Pro Laptop,1,2019-08-03
1013,1016,Macbook Pro Laptop,1,2019-08-03
1019,1022,Macbook Pro Laptop,1,2019-08-18
1100,1103,Macbook Pro Laptop,1,2019-08-03
1233,1237,Macbook Pro Laptop,1,2019-08-26
1271,1275,Macbook Pro Laptop,1,2019-08-28
1292,1297,Macbook Pro Laptop,1,2019-08-26
1294,1299,Macbook Pro Laptop,1,2019-08-17
1321,1326,Macbook Pro Laptop,1,2019-08-06
1362,1367,Macbook Pro Laptop,1,2019-08-05
1378,1383,Macbook Pro Laptop,1,2019-08-26
1419,1425,Macbook Pro Laptop,1,2019-08-06
1563,1570,Macbook Pro Laptop,1,2019-08-14
1597,1604,Macbook Pro Laptop,1,2019-08-19
1612,1619,Macbook Pro Laptop,1,2019-08-18
1640,1647,Macbook Pro Laptop,1,2019-08-10
1675,1682,Macbook Pro Laptop,1,2019-08-03
1718,1725,Macbook Pro Laptop,1,2019-08-03
1734,1742,Macbook Pro Laptop,1,2019-08-01
1761,1769,Macbook Pro Laptop,1,2019-08-12
1843,1851,Macbook Pro Laptop,1,2019-08-24
1850,1858,Macbook Pro Laptop,1,2019-08-28
1860,1868,Macbook Pro Laptop,1,2019-08-20
1904,1912,Macbook Pro Laptop,1,2019-08-06
1912,1920,Macbook Pro Laptop,1,2019-08-16
1947,1955,Macbook Pro Laptop,1,2019-08-15
2024,2032,Macbook Pro Laptop,1,2019-08-26
2025,2033,Macbook Pro Laptop,1,2019-08-05
2035,2043,Macbook Pro Laptop,1,2019-08-03
2057,2065,Macbook Pro Laptop,1,2019-08-23
2084,2092,Macbook Pro Laptop,1,2019-08-22
2100,2108,Macbook Pro Laptop,1,2019-08-15
2103,2111,Macbook Pro Laptop,1,2019-08-05
2144,2152,Macbook Pro Laptop,1,2019-08-10
2178,2186,Macbook Pro Laptop,1,2019-08-09
2182,2190,Macbook Pro Laptop,1,2019-08-27
2202,2210,Macbook Pro Laptop,1,2019-08-20
2209,2217,Macbook Pro Laptop,1,2019-08-23
2218,2226,Macbook Pro Laptop,1,2019-08-25
2242,2250,Macbook Pro Laptop,1,2019-08-12
2351,2360,Macbook Pro Laptop,1,2019-08-03
2400,2409,Macbook Pro Laptop,1,2019-08-12
2410,2419,Macbook Pro Laptop,1,2019-08-24
2462,2471,Macbook Pro Laptop,1,2019-08-09
2482,2492,Macbook Pro Laptop,1,2019-08-30
2483,2493,Macbook Pro Laptop,1,2019-08-04
2604,2615,Macbook Pro Laptop,1,2019-08-10
2661,2674,Macbook Pro Laptop,1,2019-08-14
2707,2721,Macbook Pro Laptop,1,2019-08-11
2708,2722,Macbook Pro Laptop,1,2019-08-31
2713,2727,Macbook Pro Laptop,1,2019-08-14
2781,2795,Macbook Pro Laptop,1,2019-08-09
2952,2966,Macbook Pro Laptop,1,2019-08-27
2972,2986,Macbook Pro Laptop,1,2019-08-01
3002,3016,Macbook Pro Laptop,1,2019-08-31
3043,3057,Macbook Pro Laptop,1,2019-08-03
3050,3064,Macbook Pro Laptop,1,2019-08-14
3055,3069,Macbook Pro Laptop,1,2019-08-21
3139,3154,Macbook Pro Laptop,1,2019-08-04
3143,3158,Macbook Pro Laptop,1,2019-08-22
3164,3179,Macbook Pro Laptop,1,2019-08-01
3170,3185,Macbook Pro Laptop,1,2019-08-29
3192,3207,Macbook Pro Laptop,1,2019-08-05
3224,3239,Macbook Pro Laptop,1,2019-08-10
3257,3272,Macbook Pro Laptop,1,2019-08-31
