,Unnamed: 0,Product,Quantity Ordered,Order Date
32,32,ThinkPad Laptop,1,2019-08-23
59,59,ThinkPad Laptop,1,2019-08-10
138,138,ThinkPad Laptop,1,2019-08-06
213,214,ThinkPad Laptop,1,2019-08-08
229,230,ThinkPad Laptop,1,2019-08-07
253,255,ThinkPad Laptop,1,2019-08-24
266,268,ThinkPad Laptop,1,2019-08-04
319,322,ThinkPad Laptop,1,2019-08-24
331,334,ThinkPad Laptop,1,2019-08-01
453,456,ThinkPad Laptop,1,2019-08-16
570,573,ThinkPad Laptop,1,2019-08-15
600,603,ThinkPad Laptop,1,2019-08-07
610,613,ThinkPad Laptop,1,2019-08-04
611,614,ThinkPad Laptop,1,2019-08-20
634,637,ThinkPad Laptop,1,2019-08-05
675,678,ThinkPad Laptop,1,2019-08-11
713,716,ThinkPad Laptop,1,2019-08-13
835,838,ThinkPad Laptop,1,2019-08-07
903,906,ThinkPad Laptop,1,2019-08-01
952,955,ThinkPad Laptop,1,2019-08-11
971,974,ThinkPad Laptop,1,2019-08-16
1010,1013,ThinkPad Laptop,1,2019-08-13
1030,1033,ThinkPad Laptop,1,2019-08-30
1072,1075,ThinkPad Laptop,1,2019-08-16
1080,1083,ThinkPad Laptop,1,2019-08-31
1124,1127,ThinkPad Laptop,1,2019-08-07
1164,1167,ThinkPad Laptop,1,2019-08-07
1267,1271,ThinkPad Laptop,1,2019-08-12
1351,1356,ThinkPad Laptop,1,2019-08-20
1519,1526,ThinkPad Laptop,1,2019-08-03
1543,1550,ThinkPad Laptop,1,2019-08-13
1635,1642,ThinkPad Laptop,1,2019-08-28
1665,1672,ThinkPad Laptop,1,2019-08-11
1672,1679,ThinkPad Laptop,1,2019-08-09
1896,1904,ThinkPad Laptop,1,2019-08-04
1929,1937,ThinkPad Laptop,1,2019-08-05
1969,1977,ThinkPad Laptop,1,2019-08-02
1980,1988,ThinkPad Laptop,1,2019-08-30
1981,1989,ThinkPad Laptop,1,2019-08-29
2033,2041,ThinkPad Laptop,1,2019-08-11
2073,2081,ThinkPad Laptop,1,2019-08-11
2337,2346,ThinkPad Laptop,1,2019-08-12
2368,2377,ThinkPad Laptop,1,2019-08-21
2372,2381,ThinkPad Laptop,1,2019-08-11
2437,2446,ThinkPad Laptop,1,2019-08-28
2496,2506,ThinkPad Laptop,1,2019-08-12
2526,2536,ThinkPad Laptop,1,2019-08-12
2624,2635,ThinkPad Laptop,1,2019-08-25
2629,2640,ThinkPad Laptop,1,2019-08-16
2662,2675,ThinkPad Laptop,1,2019-08-19
2775,2789,ThinkPad Laptop,1,2019-08-13
2797,2811,ThinkPad Laptop,1,2019-08-06
2888,2902,ThinkPad Laptop,1,2019-08-31
2956,2970,ThinkPad Laptop,1,2019-08-11
2967,2981,ThinkPad Laptop,1,2019-08-31
3032,3046,ThinkPad Laptop,1,2019-08-30
3273,3288,ThinkPad Laptop,1,2019-08-14
3391,3408,ThinkPad Laptop,1,2019-08-11
3429,3446,ThinkPad Laptop,1,2019-08-08
3525,3542,ThinkPad Laptop,1,2019-08-07
3547,3564,ThinkPad Laptop,1,2019-08-09
3548,3565,ThinkPad Laptop,1,2019-08-15
3584,3601,ThinkPad Laptop,1,2019-08-07
3603,3620,ThinkPad Laptop,1,2019-08-26
3635,3652,ThinkPad Laptop,1,2019-08-03
3727,3744,ThinkPad Laptop,1,2019-08-21
3780,3797,ThinkPad Laptop,1,2019-08-30
3802,3819,ThinkPad Laptop,1,2019-08-06
3829,3846,ThinkPad Laptop,1,2019-08-31
3850,3867,ThinkPad Laptop,1,2019-08-09
3912,3929,ThinkPad Laptop,1,2019-08-24
3978,3995,ThinkPad Laptop,1,2019-08-27
3992,4009,ThinkPad Laptop,1,2019-08-19
4008,4025,ThinkPad Laptop,1,2019-08-15
4016,4033,ThinkPad Laptop,1,2019-08-27
4148,4165,ThinkPad Laptop,1,2019-08-07
4162,4179,ThinkPad Laptop,1,2019-08-14
4268,4285,ThinkPad Laptop,1,2019-08-05
4271,4289,ThinkPad Laptop,1,2019-08-15
4289,4308,ThinkPad Laptop,1,2019-08-07
4330,4349,ThinkPad Laptop,1,2019-08-27
4418,4437,ThinkPad Laptop,1,2019-08-07
4509,4529,ThinkPad Laptop,1,2019-08-31
4515,4535,ThinkPad Laptop,1,2019-08-16
4569,4589,ThinkPad Laptop,1,2019-08-14
4580,4600,ThinkPad Laptop,1,2019-08-27
4619,4639,ThinkPad Laptop,1,2019-08-19
4621,4641,ThinkPad Laptop,1,2019-08-03
4639,4659,ThinkPad Laptop,1,2019-08-10
4667,4688,ThinkPad Laptop,1,2019-08-04
4687,4708,ThinkPad Laptop,1,2019-08-03
4693,4714,ThinkPad Laptop,1,2019-08-11
4865,4886,ThinkPad Laptop,1,2019-08-29
4876,4897,ThinkPad Laptop,1,2019-08-10
4880,4901,ThinkPad Laptop,1,2019-08-08
4895,4916,ThinkPad Laptop,1,2019-08-24
4941,4962,ThinkPad Laptop,1,2019-08-12
4942,4963,ThinkPad Laptop,1,2019-08-28
4961,4982,ThinkPad Laptop,1,2019-08-25
4963,4984,ThinkPad Laptop,1,2019-08-11
4987,5008,ThinkPad Laptop,1,2019-08-25
5014,5035,ThinkPad Laptop,1,2019-08-15
5126,5147,ThinkPad Laptop,1,2019-08-03
5189,5210,ThinkPad Laptop,1,2019-08-11
5191,5212,ThinkPad Laptop,1,2019-08-17
5201,5222,ThinkPad Laptop,1,2019-08-30
5219,5240,ThinkPad Laptop,1,2019-08-15
5228,5249,ThinkPad Laptop,1,2019-08-15
5318,5339,ThinkPad Laptop,1,2019-08-06
5324,5345,ThinkPad Laptop,1,2019-08-26
5328,5349,ThinkPad Laptop,1,2019-08-07
5329,5350,ThinkPad Laptop,1,2019-08-05
5508,5530,ThinkPad Laptop,1,2019-08-03
5570,5592,ThinkPad Laptop,1,2019-08-31
5583,5605,ThinkPad Laptop,1,2019-08-12
5586,5608,ThinkPad Laptop,1,2019-08-14
5616,5638,ThinkPad Laptop,1,2019-08-09
5620,5642,ThinkPad Laptop,1,2019-08-02
5627,5649,ThinkPad Laptop,1,2019-08-13
5662,5685,ThinkPad Laptop,1,2019-08-18
5704,5727,ThinkPad Laptop,1,2019-08-30
5717,5740,ThinkPad Laptop,1,2019-08-07
5780,5803,ThinkPad Laptop,1,2019-08-25
5785,5808,ThinkPad Laptop,1,2019-08-14
5790,5813,ThinkPad Laptop,1,2019-08-19
5859,5882,ThinkPad Laptop,1,2019-08-05
5891,5914,ThinkPad Laptop,1,2019-09-01
6021,6044,ThinkPad Laptop,1,2019-08-10
6037,6060,ThinkPad Laptop,1,2019-08-07
6100,6124,ThinkPad Laptop,1,2019-08-20
6164,6188,ThinkPad Laptop,1,2019-08-04
6266,6291,ThinkPad Laptop,1,2019-08-11
6267,6292,ThinkPad Laptop,1,2019-08-13
6314,6339,ThinkPad Laptop,1,2019-08-02
6318,6343,ThinkPad Laptop,1,2019-08-25
6322,6347,ThinkPad Laptop,1,2019-08-17
6331,6356,ThinkPad Laptop,1,2019-08-18
6338,6363,ThinkPad Laptop,1,2019-08-06
6357,6382,ThinkPad Laptop,1,2019-08-22
6381,6406,ThinkPad Laptop,1,2019-08-19
6416,6443,ThinkPad Laptop,1,2019-08-19
6438,6465,ThinkPad Laptop,1,2019-08-05
6493,6520,ThinkPad Laptop,1,2019-08-08
6526,6553,ThinkPad Laptop,1,2019-08-22
6606,6634,ThinkPad Laptop,1,2019-08-22
6639,6667,ThinkPad Laptop,1,2019-08-06
6650,6678,ThinkPad Laptop,1,2019-08-25
6718,6746,ThinkPad Laptop,1,2019-08-26
6747,6775,ThinkPad Laptop,1,2019-08-07
6811,6840,ThinkPad Laptop,1,2019-08-23
6869,6898,ThinkPad Laptop,1,2019-08-22
6889,6918,ThinkPad Laptop,1,2019-08-11
6903,6932,ThinkPad Laptop,1,2019-08-03
6922,6951,ThinkPad Laptop,1,2019-08-21
6987,7017,ThinkPad Laptop,1,2019-08-05
7003,7033,ThinkPad Laptop,1,2019-08-05
7037,7067,ThinkPad Laptop,1,2019-08-02
7152,7183,ThinkPad Laptop,1,2019-08-04
7268,7299,ThinkPad Laptop,1,2019-08-03
7289,7320,ThinkPad Laptop,1,2019-08-17
7310,7341,ThinkPad Laptop,1,2019-08-12
7315,7346,ThinkPad Laptop,1,2019-08-16
7374,7405,ThinkPad Laptop,1,2019-08-02
7496,7528,ThinkPad Laptop,1,2019-08-28
7506,7538,ThinkPad Laptop,1,2019-08-11
7602,7634,ThinkPad Laptop,1,2019-08-12
7623,7655,ThinkPad Laptop,1,2019-08-31
7664,7696,ThinkPad Laptop,1,2019-08-05
7705,7737,ThinkPad Laptop,1,2019-08-15
7751,7784,ThinkPad Laptop,1,2019-08-02
7752,7785,ThinkPad Laptop,1,2019-08-13
7779,7812,ThinkPad Laptop,1,2019-08-20
7792,7825,ThinkPad Laptop,1,2019-08-03
7845,7878,ThinkPad Laptop,1,2019-08-13
7850,7883,ThinkPad Laptop,1,2019-08-05
7859,7892,ThinkPad Laptop,1,2019-08-13
7865,7898,ThinkPad Laptop,1,2019-08-02
7897,7931,ThinkPad Laptop,1,2019-08-06
7929,7965,ThinkPad Laptop,1,2019-08-08
7984,8020,ThinkPad Laptop,1,2019-08-26
7999,8035,ThinkPad Laptop,1,2019-08-07
8000,8036,ThinkPad Laptop,1,2019-08-11
8063,8099,ThinkPad Laptop,1,2019-08-18
8064,8100,ThinkPad Laptop,1,2019-08-10
8085,8121,ThinkPad Laptop,1,2019-08-24
8104,8140,ThinkPad Laptop,1,2019-08-17
8114,8150,ThinkPad Laptop,1,2019-08-05
8147,8183,ThinkPad Laptop,1,2019-08-09
8313,8349,ThinkPad Laptop,1,2019-08-25
8322,8358,ThinkPad Laptop,1,2019-08-02
8329,8365,ThinkPad Laptop,1,2019-08-26
8344,8380,ThinkPad Laptop,1,2019-08-15
8365,8401,ThinkPad Laptop,1,2019-08-20
8384,8420,ThinkPad Laptop,1,2019-08-26
8414,8450,ThinkPad Laptop,1,2019-08-10
8421,8457,ThinkPad Laptop,1,2019-08-14
8437,8473,ThinkPad Laptop,1,2019-08-09
8541,8578,ThinkPad Laptop,1,2019-08-09
8559,8596,ThinkPad Laptop,1,2019-08-15
8562,8599,ThinkPad Laptop,1,2019-08-01
8617,8654,ThinkPad Laptop,1,2019-08-03
8620,8657,ThinkPad Laptop,1,2019-08-17
8724,8763,ThinkPad Laptop,1,2019-08-27
8761,8800,ThinkPad Laptop,1,2019-08-13
8776,8815,ThinkPad Laptop,1,2019-08-12
8816,8856,ThinkPad Laptop,1,2019-08-01
8891,8932,ThinkPad Laptop,1,2019-08-28
8901,8942,ThinkPad Laptop,1,2019-08-15
8955,8996,ThinkPad Laptop,1,2019-08-26
9040,9081,ThinkPad Laptop,1,2019-08-19
9112,9153,ThinkPad Laptop,1,2019-08-06
9114,9155,ThinkPad Laptop,1,2019-08-24
9141,9182,ThinkPad Laptop,1,2019-08-16
9231,9274,ThinkPad Laptop,1,2019-08-09
9319,9362,ThinkPad Laptop,1,2019-08-24
9352,9395,ThinkPad Laptop,1,2019-08-14
9472,9516,ThinkPad Laptop,1,2019-08-15
9485,9529,ThinkPad Laptop,1,2019-08-14
9517,9561,ThinkPad Laptop,1,2019-08-28
9548,9592,ThinkPad Laptop,1,2019-08-29
9571,9616,ThinkPad Laptop,1,2019-08-19
9573,9618,ThinkPad Laptop,1,2019-08-30
9578,9623,ThinkPad Laptop,1,2019-08-19
9598,9643,ThinkPad Laptop,1,2019-08-21
9607,9652,ThinkPad Laptop,1,2019-08-13
9624,9669,ThinkPad Laptop,1,2019-08-05
9628,9673,ThinkPad Laptop,1,2019-08-15
9657,9702,ThinkPad Laptop,1,2019-08-10
9745,9791,ThinkPad Laptop,1,2019-08-02
9750,9796,ThinkPad Laptop,1,2019-08-20
9787,9833,ThinkPad Laptop,1,2019-08-28
9820,9866,ThinkPad Laptop,1,2019-08-22
9831,9877,ThinkPad Laptop,1,2019-08-28
9873,9919,ThinkPad Laptop,1,2019-08-19
9971,10017,ThinkPad Laptop,1,2019-08-17
10106,10152,ThinkPad Laptop,1,2019-08-23
10116,10162,ThinkPad Laptop,1,2019-08-22
10223,10270,ThinkPad Laptop,1,2019-08-15
10262,10309,ThinkPad Laptop,1,2019-08-08
10380,10428,ThinkPad Laptop,1,2019-08-12
10424,10472,ThinkPad Laptop,1,2019-08-04
10447,10495,ThinkPad Laptop,1,2019-08-08
10471,10520,ThinkPad Laptop,1,2019-08-24
10521,10570,ThinkPad Laptop,1,2019-08-17
10603,10652,ThinkPad Laptop,1,2019-08-25
10628,10677,ThinkPad Laptop,1,2019-08-28
10687,10738,ThinkPad Laptop,1,2019-08-20
10705,10756,ThinkPad Laptop,1,2019-08-03
10716,10767,ThinkPad Laptop,1,2019-08-12
10746,10797,ThinkPad Laptop,1,2019-08-11
10794,10845,ThinkPad Laptop,1,2019-08-24
10831,10884,ThinkPad Laptop,1,2019-08-03
10883,10936,ThinkPad Laptop,1,2019-08-31
10951,11005,ThinkPad Laptop,1,2019-08-06
10979,11033,ThinkPad Laptop,1,2019-08-29
10999,11053,ThinkPad Laptop,1,2019-08-22
11011,11065,ThinkPad Laptop,1,2019-08-27
11025,11079,ThinkPad Laptop,1,2019-08-23
11028,11082,ThinkPad Laptop,1,2019-08-28
11074,11128,ThinkPad Laptop,1,2019-08-26
11079,11133,ThinkPad Laptop,1,2019-08-04
11110,11164,ThinkPad Laptop,1,2019-08-11
11162,11216,ThinkPad Laptop,1,2019-08-22
11202,11256,ThinkPad Laptop,1,2019-08-26
11265,11319,ThinkPad Laptop,1,2019-08-30
11268,11322,ThinkPad Laptop,1,2019-08-28
11313,11367,ThinkPad Laptop,1,2019-08-11
11325,11379,ThinkPad Laptop,1,2019-08-30
11365,11419,ThinkPad Laptop,1,2019-08-13
11370,11424,ThinkPad Laptop,1,2019-08-03
11531,11585,ThinkPad Laptop,1,2019-08-28
11568,11622,ThinkPad Laptop,1,2019-08-19
11792,11846,ThinkPad Laptop,1,2019-08-03
11865,11919,ThinkPad Laptop,1,2019-08-05
11891,11945,ThinkPad Laptop,1,2019-08-13
