,Unnamed: 0,Product,Quantity Ordered,Order Date
17,17,USB-C Charging Cable,1,2019-08-23
21,21,USB-C Charging Cable,1,2019-08-23
22,22,USB-C Charging Cable,1,2019-08-20
47,47,USB-C Charging Cable,1,2019-08-17
58,58,USB-C Charging Cable,1,2019-08-19
72,72,USB-C Charging Cable,1,2019-08-31
73,73,USB-C Charging Cable,1,2019-08-12
74,74,USB-C Charging Cable,1,2019-08-08
90,90,USB-C Charging Cable,1,2019-08-07
115,115,USB-C Charging Cable,1,2019-08-15
126,126,USB-C Charging Cable,1,2019-08-12
135,135,USB-C Charging Cable,1,2019-08-24
139,139,USB-C Charging Cable,1,2019-08-23
140,140,USB-C Charging Cable,1,2019-08-06
141,141,USB-C Charging Cable,1,2019-08-27
150,150,USB-C Charging Cable,1,2019-08-13
159,159,USB-C Charging Cable,1,2019-08-01
164,164,USB-C Charging Cable,1,2019-08-16
177,177,USB-C Charging Cable,1,2019-08-06
189,189,USB-C Charging Cable,1,2019-08-14
195,195,USB-C Charging Cable,1,2019-08-01
200,200,USB-C Charging Cable,1,2019-08-09
202,202,USB-C Charging Cable,1,2019-08-08
210,210,USB-C Charging Cable,1,2019-08-13
221,222,USB-C Charging Cable,1,2019-08-15
230,231,USB-C Charging Cable,1,2019-08-03
231,232,USB-C Charging Cable,1,2019-08-01
237,238,USB-C Charging Cable,1,2019-08-01
246,248,USB-C Charging Cable,1,2019-08-17
275,277,USB-C Charging Cable,1,2019-08-28
292,294,USB-C Charging Cable,1,2019-08-26
323,326,USB-C Charging Cable,1,2019-08-02
324,327,USB-C Charging Cable,1,2019-08-12
326,329,USB-C Charging Cable,1,2019-08-30
327,330,USB-C Charging Cable,2,2019-08-18
329,332,USB-C Charging Cable,1,2019-08-20
339,342,USB-C Charging Cable,1,2019-08-30
341,344,USB-C Charging Cable,1,2019-08-01
353,356,USB-C Charging Cable,1,2019-08-17
380,383,USB-C Charging Cable,1,2019-08-26
411,414,USB-C Charging Cable,1,2019-08-08
418,421,USB-C Charging Cable,1,2019-08-20
437,440,USB-C Charging Cable,1,2019-08-06
455,458,USB-C Charging Cable,1,2019-08-05
467,470,USB-C Charging Cable,1,2019-08-28
469,472,USB-C Charging Cable,1,2019-08-09
472,475,USB-C Charging Cable,1,2019-08-11
477,480,USB-C Charging Cable,1,2019-08-25
502,505,USB-C Charging Cable,1,2019-08-04
506,509,USB-C Charging Cable,1,2019-08-01
520,523,USB-C Charging Cable,1,2019-08-10
522,525,USB-C Charging Cable,1,2019-08-23
525,528,USB-C Charging Cable,1,2019-08-20
528,531,USB-C Charging Cable,1,2019-08-25
532,535,USB-C Charging Cable,1,2019-08-05
550,553,USB-C Charging Cable,2,2019-08-27
580,583,USB-C Charging Cable,1,2019-08-29
584,587,USB-C Charging Cable,1,2019-08-30
599,602,USB-C Charging Cable,1,2019-08-02
601,604,USB-C Charging Cable,1,2019-08-26
607,610,USB-C Charging Cable,1,2019-08-25
619,622,USB-C Charging Cable,1,2019-08-22
623,626,USB-C Charging Cable,1,2019-08-13
643,646,USB-C Charging Cable,1,2019-08-19
648,651,USB-C Charging Cable,3,2019-08-16
650,653,USB-C Charging Cable,1,2019-08-04
