,Unnamed: 0,Product,Quantity Ordered,Order Date
2,2,iPhone,1,2019-08-06
39,39,iPhone,1,2019-08-04
60,60,iPhone,1,2019-08-09
100,100,iPhone,1,2019-08-09
121,121,iPhone,1,2019-08-21
264,266,iPhone,1,2019-08-22
268,270,iPhone,1,2019-08-18
288,290,iPhone,1,2019-08-01
311,314,iPhone,1,2019-08-02
317,320,iPhone,1,2019-08-05
345,348,iPhone,1,2019-08-03
350,353,iPhone,1,2019-08-06
393,396,iPhone,1,2019-08-19
407,410,iPhone,1,2019-08-11
452,455,iPhone,1,2019-08-31
489,492,iPhone,1,2019-08-22
510,513,iPhone,1,2019-08-22
514,517,iPhone,1,2019-08-31
560,563,iPhone,1,2019-08-07
585,588,iPhone,1,2019-08-20
596,599,iPhone,1,2019-08-30
614,617,iPhone,1,2019-08-17
659,662,iPhone,1,2019-08-10
715,718,iPhone,1,2019-08-26
772,775,iPhone,1,2019-08-18
858,861,iPhone,1,2019-08-31
868,871,iPhone,1,2019-08-16
885,888,iPhone,1,2019-08-01
911,914,iPhone,1,2019-08-18
915,918,iPhone,1,2019-08-20
916,919,iPhone,1,2019-08-23
1043,1046,iPhone,1,2019-08-30
1146,1149,iPhone,1,2019-08-14
1170,1173,iPhone,1,2019-08-10
1191,1194,iPhone,1,2019-08-11
1212,1215,iPhone,1,2019-08-13
1225,1229,iPhone,1,2019-08-01
1231,1235,iPhone,1,2019-08-27
1252,1256,iPhone,1,2019-08-14
1316,1321,iPhone,1,2019-08-02
1352,1357,iPhone,1,2019-08-20
1354,1359,iPhone,1,2019-08-05
1371,1376,iPhone,1,2019-08-02
1376,1381,iPhone,1,2019-08-27
1403,1408,iPhone,1,2019-08-30
1422,1429,iPhone,1,2019-08-20
1437,1444,iPhone,1,2019-08-30
1440,1447,iPhone,1,2019-08-13
1474,1481,iPhone,1,2019-08-02
1476,1483,iPhone,1,2019-08-30
1492,1499,iPhone,1,2019-08-24
1500,1507,iPhone,1,2019-08-03
1510,1517,iPhone,1,2019-08-14
1529,1536,iPhone,1,2019-08-14
1555,1562,iPhone,1,2019-08-01
1572,1579,iPhone,1,2019-08-15
1601,1608,iPhone,1,2019-08-28
1605,1612,iPhone,1,2019-08-23
1660,1667,iPhone,1,2019-08-13
1667,1674,iPhone,1,2019-08-23
1752,1760,iPhone,1,2019-08-18
1771,1779,iPhone,1,2019-08-02
1787,1795,iPhone,1,2019-08-27
1803,1811,iPhone,1,2019-08-02
1809,1817,iPhone,1,2019-08-09
1829,1837,iPhone,1,2019-08-29
1838,1846,iPhone,1,2019-08-25
1864,1872,iPhone,1,2019-08-23
2022,2030,iPhone,1,2019-08-29
2043,2051,iPhone,1,2019-08-06
2049,2057,iPhone,1,2019-08-31
2138,2146,iPhone,1,2019-08-03
2146,2154,iPhone,1,2019-08-10
2151,2159,iPhone,1,2019-08-14
2164,2172,iPhone,1,2019-08-30
2179,2187,iPhone,1,2019-08-29
2180,2188,iPhone,1,2019-08-01
2236,2244,iPhone,1,2019-08-02
2239,2247,iPhone,1,2019-08-29
2290,2298,iPhone,1,2019-08-03
2311,2320,iPhone,1,2019-08-14
2319,2328,iPhone,1,2019-08-02
2333,2342,iPhone,1,2019-08-11
2379,2388,iPhone,1,2019-08-06
2390,2399,iPhone,1,2019-08-28
2427,2436,iPhone,1,2019-08-19
2485,2495,iPhone,1,2019-08-10
2497,2507,iPhone,1,2019-08-12
2546,2556,iPhone,1,2019-08-09
2612,2623,iPhone,1,2019-08-08
2615,2626,iPhone,1,2019-08-11
2634,2645,iPhone,1,2019-08-25
2738,2752,iPhone,1,2019-08-30
2776,2790,iPhone,1,2019-08-25
2838,2852,iPhone,1,2019-08-08
2857,2871,iPhone,1,2019-08-18
2890,2904,iPhone,1,2019-08-12
2948,2962,iPhone,1,2019-08-22
2981,2995,iPhone,1,2019-08-11
3003,3017,iPhone,1,2019-08-13
3019,3033,iPhone,1,2019-08-15
3057,3071,iPhone,1,2019-08-19
3109,3124,iPhone,1,2019-08-03
3112,3127,iPhone,1,2019-08-25
3157,3172,iPhone,1,2019-08-04
3171,3186,iPhone,1,2019-08-03
3180,3195,iPhone,1,2019-08-07
3185,3200,iPhone,1,2019-08-15
3196,3211,iPhone,1,2019-08-31
3202,3217,iPhone,1,2019-08-28
3245,3260,iPhone,1,2019-08-09
3246,3261,iPhone,1,2019-08-21
3269,3284,iPhone,1,2019-08-01
3290,3305,iPhone,1,2019-08-17
3300,3316,iPhone,1,2019-08-11
3313,3329,iPhone,1,2019-08-06
3326,3342,iPhone,1,2019-08-23
3327,3343,iPhone,1,2019-08-04
3372,3389,iPhone,1,2019-08-09
3410,3427,iPhone,1,2019-08-08
3417,3434,iPhone,1,2019-08-27
3435,3452,iPhone,1,2019-08-09
3437,3454,iPhone,1,2019-08-28
3475,3492,iPhone,1,2019-08-05
3517,3534,iPhone,1,2019-08-15
3571,3588,iPhone,1,2019-08-15
3600,3617,iPhone,1,2019-08-06
3655,3672,iPhone,1,2019-08-14
3662,3679,iPhone,1,2019-08-24
3680,3697,iPhone,1,2019-08-09
3683,3700,iPhone,1,2019-08-28
3685,3702,iPhone,1,2019-08-15
3692,3709,iPhone,1,2019-08-11
3728,3745,iPhone,1,2019-08-11
3795,3812,iPhone,1,2019-08-06
3855,3872,iPhone,1,2019-08-25
3860,3877,iPhone,1,2019-08-25
3914,3931,iPhone,1,2019-08-12
3953,3970,iPhone,1,2019-08-02
4010,4027,iPhone,1,2019-08-19
4032,4049,iPhone,1,2019-08-16
4065,4082,iPhone,1,2019-08-12
4085,4102,iPhone,1,2019-08-20
4086,4103,iPhone,1,2019-08-20
4102,4119,iPhone,1,2019-08-20
4139,4156,iPhone,1,2019-08-30
4149,4166,iPhone,1,2019-08-31
4159,4176,iPhone,1,2019-08-13
4185,4202,iPhone,1,2019-08-22
4195,4212,iPhone,1,2019-08-07
4233,4250,iPhone,1,2019-08-28
4239,4256,iPhone,1,2019-08-20
4261,4278,iPhone,1,2019-08-26
4262,4279,iPhone,1,2019-08-19
4291,4310,iPhone,1,2019-08-22
4332,4351,iPhone,1,2019-08-15
4335,4354,iPhone,1,2019-08-02
4386,4405,iPhone,1,2019-08-04
4396,4415,iPhone,1,2019-08-26
4504,4524,iPhone,1,2019-08-16
4583,4603,iPhone,1,2019-08-14
4622,4642,iPhone,1,2019-08-16
4701,4722,iPhone,1,2019-08-06
4706,4727,iPhone,1,2019-08-13
4709,4730,iPhone,1,2019-08-06
4722,4743,iPhone,1,2019-08-18
4732,4753,iPhone,1,2019-08-15
4754,4775,iPhone,1,2019-08-06
4756,4777,iPhone,1,2019-08-10
4764,4785,iPhone,1,2019-08-18
4796,4817,iPhone,1,2019-08-26
4828,4849,iPhone,1,2019-08-18
4833,4854,iPhone,1,2019-08-07
4851,4872,iPhone,1,2019-08-14
4924,4945,iPhone,1,2019-08-30
4980,5001,iPhone,1,2019-08-28
4982,5003,iPhone,1,2019-08-20
4993,5014,iPhone,1,2019-08-04
5028,5049,iPhone,1,2019-08-02
5079,5100,iPhone,1,2019-08-22
5127,5148,iPhone,1,2019-08-08
5142,5163,iPhone,1,2019-08-19
5146,5167,iPhone,1,2019-08-05
5148,5169,iPhone,1,2019-08-15
5155,5176,iPhone,1,2019-08-21
5248,5269,iPhone,1,2019-08-22
5249,5270,iPhone,1,2019-08-25
5276,5297,iPhone,1,2019-08-22
5341,5362,iPhone,1,2019-08-15
5364,5385,iPhone,1,2019-08-03
5377,5398,iPhone,1,2019-08-18
5391,5412,iPhone,1,2019-08-25
5393,5414,iPhone,1,2019-08-18
5402,5423,iPhone,1,2019-08-02
5428,5449,iPhone,1,2019-08-27
5487,5508,iPhone,1,2019-08-02
5495,5516,iPhone,1,2019-08-06
5510,5532,iPhone,1,2019-08-10
5514,5536,iPhone,1,2019-08-24
5562,5584,iPhone,1,2019-08-25
5601,5623,iPhone,1,2019-08-04
5628,5650,iPhone,1,2019-08-20
5698,5721,iPhone,1,2019-08-19
5728,5751,iPhone,1,2019-08-05
5734,5757,iPhone,1,2019-08-29
5739,5762,iPhone,1,2019-08-01
5741,5764,iPhone,1,2019-08-10
5775,5798,iPhone,1,2019-08-30
5787,5810,iPhone,1,2019-08-18
5809,5832,iPhone,1,2019-08-08
5873,5896,iPhone,1,2019-08-23
5884,5907,iPhone,1,2019-08-04
5904,5927,iPhone,1,2019-08-28
5932,5955,iPhone,1,2019-08-24
5935,5958,iPhone,1,2019-08-12
5938,5961,iPhone,1,2019-08-05
5995,6018,iPhone,1,2019-08-27
6078,6102,iPhone,1,2019-08-23
6112,6136,iPhone,1,2019-08-20
6139,6163,iPhone,1,2019-08-01
6262,6287,iPhone,1,2019-08-15
6271,6296,iPhone,1,2019-08-02
6275,6300,iPhone,1,2019-08-18
6304,6329,iPhone,1,2019-08-14
6310,6335,iPhone,1,2019-08-13
6355,6380,iPhone,1,2019-08-16
6365,6390,iPhone,1,2019-08-01
6378,6403,iPhone,1,2019-08-06
6410,6436,iPhone,1,2019-08-30
6445,6472,iPhone,1,2019-08-20
6447,6474,iPhone,1,2019-08-05
6463,6490,iPhone,1,2019-08-31
6469,6496,iPhone,1,2019-08-11
6508,6535,iPhone,1,2019-08-14
6518,6545,iPhone,1,2019-08-07
6553,6580,iPhone,1,2019-08-09
6591,6619,iPhone,1,2019-08-03
6592,6620,iPhone,1,2019-08-09
6601,6629,iPhone,1,2019-08-23
6618,6646,iPhone,1,2019-08-06
6633,6661,iPhone,1,2019-08-03
6641,6669,iPhone,1,2019-08-04
6673,6701,iPhone,1,2019-08-24
6689,6717,iPhone,1,2019-08-10
6762,6790,iPhone,1,2019-08-26
6771,6800,iPhone,1,2019-08-17
6787,6816,iPhone,1,2019-08-21
6831,6860,iPhone,1,2019-08-27
6849,6878,iPhone,1,2019-08-19
6858,6887,iPhone,1,2019-08-17
6886,6915,iPhone,1,2019-08-02
6906,6935,iPhone,1,2019-08-08
6913,6942,iPhone,1,2019-08-06
6954,6983,iPhone,1,2019-08-24
6965,6995,iPhone,1,2019-08-31
6984,7014,iPhone,1,2019-08-07
7061,7091,iPhone,1,2019-08-06
7071,7101,iPhone,1,2019-08-09
7089,7119,iPhone,1,2019-08-13
7127,7158,iPhone,1,2019-08-07
7190,7221,iPhone,1,2019-08-23
7257,7288,iPhone,1,2019-08-29
7346,7377,iPhone,1,2019-08-22
7383,7414,iPhone,1,2019-08-14
7431,7462,iPhone,1,2019-08-04
7434,7465,iPhone,1,2019-08-09
7465,7496,iPhone,1,2019-08-21
7479,7511,iPhone,1,2019-08-08
7487,7519,iPhone,1,2019-08-09
7512,7544,iPhone,1,2019-08-28
7541,7573,iPhone,1,2019-08-09
7573,7605,iPhone,1,2019-08-03
7574,7606,iPhone,1,2019-08-24
7590,7622,iPhone,1,2019-08-04
7648,7680,iPhone,1,2019-08-10
7680,7712,iPhone,1,2019-08-29
7739,7772,iPhone,1,2019-08-17
7765,7798,iPhone,1,2019-08-22
7769,7802,iPhone,1,2019-08-14
7805,7838,iPhone,1,2019-08-28
8068,8104,iPhone,1,2019-08-02
8069,8105,iPhone,1,2019-08-23
8125,8161,iPhone,1,2019-08-27
8146,8182,iPhone,1,2019-08-17
8154,8190,iPhone,1,2019-08-04
8186,8222,iPhone,1,2019-08-13
8207,8243,iPhone,1,2019-08-29
8239,8275,iPhone,1,2019-08-12
8249,8285,iPhone,1,2019-08-03
8268,8304,iPhone,1,2019-08-17
8271,8307,iPhone,1,2019-08-25
8308,8344,iPhone,1,2019-08-22
8331,8367,iPhone,1,2019-08-02
8378,8414,iPhone,1,2019-08-09
8446,8482,iPhone,1,2019-08-15
8449,8485,iPhone,1,2019-08-06
8455,8491,iPhone,1,2019-08-23
8464,8500,iPhone,1,2019-08-05
8478,8514,iPhone,1,2019-08-06
8502,8538,iPhone,1,2019-08-31
8505,8541,iPhone,1,2019-08-13
8522,8558,iPhone,1,2019-08-06
8586,8623,iPhone,1,2019-08-22
8606,8643,iPhone,1,2019-08-16
8661,8699,iPhone,1,2019-08-16
8663,8701,iPhone,1,2019-08-04
8674,8712,iPhone,1,2019-08-27
8725,8764,iPhone,1,2019-08-06
8733,8772,iPhone,1,2019-08-10
8766,8805,iPhone,1,2019-08-29
8768,8807,iPhone,1,2019-08-02
8835,8875,iPhone,1,2019-08-07
8857,8897,iPhone,1,2019-08-15
8899,8940,iPhone,1,2019-08-05
8930,8971,iPhone,1,2019-08-04
8932,8973,iPhone,1,2019-08-28
8961,9002,iPhone,1,2019-08-08
9004,9045,iPhone,1,2019-08-29
9039,9080,iPhone,1,2019-08-06
9073,9114,iPhone,1,2019-08-09
9122,9163,iPhone,1,2019-08-26
9160,9201,iPhone,1,2019-08-10
9183,9226,iPhone,1,2019-08-23
9190,9233,iPhone,1,2019-08-14
9206,9249,iPhone,1,2019-08-09
9225,9268,iPhone,1,2019-08-14
9238,9281,iPhone,1,2019-08-07
9251,9294,iPhone,1,2019-08-04
9256,9299,iPhone,1,2019-08-17
9267,9310,iPhone,1,2019-08-22
9299,9342,iPhone,1,2019-08-14
9396,9440,iPhone,1,2019-08-24
9418,9462,iPhone,1,2019-08-29
9419,9463,iPhone,1,2019-08-11
9429,9473,iPhone,1,2019-08-05
9463,9507,iPhone,1,2019-08-30
9567,9612,iPhone,1,2019-08-08
9585,9630,iPhone,1,2019-08-11
9596,9641,iPhone,1,2019-08-01
9638,9683,iPhone,1,2019-08-26
9651,9696,iPhone,1,2019-08-30
9656,9701,iPhone,1,2019-08-02
9675,9720,iPhone,1,2019-08-17
9682,9727,iPhone,1,2019-08-23
9699,9744,iPhone,1,2019-08-22
9702,9747,iPhone,1,2019-08-25
9768,9814,iPhone,1,2019-08-15
9773,9819,iPhone,1,2019-08-21
9781,9827,iPhone,1,2019-08-21
9799,9845,iPhone,1,2019-08-30
9804,9850,iPhone,1,2019-08-17
9856,9902,iPhone,1,2019-08-27
9908,9954,iPhone,1,2019-08-22
9913,9959,iPhone,1,2019-08-28
9917,9963,iPhone,1,2019-08-27
10018,10064,iPhone,1,2019-08-10
10019,10065,iPhone,1,2019-08-05
10023,10069,iPhone,1,2019-08-03
10028,10074,iPhone,1,2019-08-26
10029,10075,iPhone,1,2019-08-01
10051,10097,iPhone,1,2019-08-22
10145,10191,iPhone,1,2019-08-18
10155,10201,iPhone,1,2019-08-05
10163,10209,iPhone,1,2019-08-01
10170,10216,iPhone,1,2019-08-25
10260,10307,iPhone,1,2019-08-21
10306,10354,iPhone,1,2019-08-21
10332,10380,iPhone,1,2019-08-26
10337,10385,iPhone,1,2019-08-10
10353,10401,iPhone,1,2019-08-07
10384,10432,iPhone,1,2019-08-10
10386,10434,iPhone,1,2019-08-18
10388,10436,iPhone,1,2019-08-10
10496,10545,iPhone,1,2019-08-12
10506,10555,iPhone,1,2019-08-09
10527,10576,iPhone,1,2019-08-08
10563,10612,iPhone,1,2019-08-12
10576,10625,iPhone,1,2019-08-26
10613,10662,iPhone,1,2019-08-02
10615,10664,iPhone,1,2019-08-04
10658,10708,iPhone,1,2019-08-26
10678,10729,iPhone,1,2019-08-06
10683,10734,iPhone,1,2019-08-01
10698,10749,iPhone,1,2019-08-18
10711,10762,iPhone,1,2019-08-06
10724,10775,iPhone,1,2019-08-31
10725,10776,iPhone,1,2019-08-10
10748,10799,iPhone,1,2019-08-12
10776,10827,iPhone,1,2019-08-04
10809,10860,iPhone,1,2019-08-13
10860,10913,iPhone,1,2019-08-17
10899,10952,iPhone,1,2019-08-29
10905,10958,iPhone,1,2019-08-16
11018,11072,iPhone,1,2019-08-25
11041,11095,iPhone,1,2019-08-05
11043,11097,iPhone,1,2019-08-14
11055,11109,iPhone,1,2019-08-05
11063,11117,iPhone,1,2019-08-25
11076,11130,iPhone,1,2019-08-20
11116,11170,iPhone,1,2019-08-17
11154,11208,iPhone,1,2019-08-28
11156,11210,iPhone,1,2019-08-14
11167,11221,iPhone,1,2019-08-07
11199,11253,iPhone,1,2019-08-30
11222,11276,iPhone,1,2019-08-08
11229,11283,iPhone,1,2019-08-21
11275,11329,iPhone,1,2019-08-07
